,Tweets
305,If you really think it’s the EU exporting these vaccines. Shouldn’t you be asking why they are making large profits as their citizens die
306,Johnson 'leads calls' for International Treaty on future pandemics. 
307,Johnson also - we cannot send any of our XXmillion stockpiled vaccines to other countries in *this* pandemic.
308,@eucopresident @DrTedros If we had relied on your version of “united” action there would be no vaccines currently and the entire world would remain a mess for far longer. At least some countries are now making progress.
309,RT @iamkarendavila: BREAKING. President Duterte announces private sector can now order/import vaccines at will to inoculate their employees…
310,"RT @FOX13News: So far, experts say about 30% of those who get one of three COVID-19 vaccines experience mild to moderate symptoms, but thos…"
311,RT @Kenyans: We can use the money for BBI to buy vaccines. - Edwin Sifuna. https://t.co/WOExf4Z1N8
312,"RT @aliceolilly: Dec 2020: we’ve invented Covid vaccines within a year, that’s amazing "
313,"Feb 2021: wow we’ve landed a craft on Mars, that’s…"
314,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
315,RT @DrSJaishankar: Never too far for friendship. 
316,Made in India vaccines arrive in Paraguay.
317,#VaccineMaitri https://t.co/UxdbKlqwAN
318,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
319,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
320,"New Covid vaccines needed globally within a year, say scientists https://t.co/itCy8Coirj"
321,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
322,@priyankac19 Door to Door vaccination process will surely impact accountability of vaccines
323,RT @pbhushan1: The Govt's &amp; Vaccine establishments are not even asking if the new variants are being created by immune escape due to vaccin…
324,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
325,"RT @Chellaney: While some nations are hoarding vaccines (US exports remain zero), India's global export of 63.9 million vaccines so far (a…"
326,"@irishexaminer @deshocks So the cronies who have received their vaccines ahead of the most vulnerable will be able to have a life. Meanwhile, the plebs can continue to be confined and at risk of contracting covid. Sucks to not be one of the chosen few. #vhi #beacongate #cronyism"
327,RT @BreesAnna: Hang your heads in shame journalists. Instead of debating with these professors and doctors - the new journalistic tool is s…
328,AFD Blog `MMWR: Interim Estimates of Vaccine Effectiveness of mRNA COVID-19 Vaccines in Preventing SARS-CoV-2 Infection' #COVID19 #Coronavirus https://t.co/F109RrYYyV
329,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
330,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
331,RT @DrSJaishankar: Standing with Sahel. Made in India vaccines reach Niger.
332,#VaccineMaitri https://t.co/lNqbfEL3d0
333,"@LegendaryEnergy I’ve talked to multiple people having skin problems. Hey are you planning on looking into the amounts  of side effects from the vaccines? I’ve heard multiple first hand stories &amp; it’s fucking terrifying. Numbs body parts, comas, ticks,death etc. And it’s fuckin crazy"
334,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
335,Queensland to mandate Covid vaccines for healthcare workers – but speed of rollout is under fire https://t.co/wB4gFpPzCb
336,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
337,"RT @mixbecca: PSA: to avoid soreness after vaccines, rub your arm as much as you can stand it and then do push ups / clean / dance around /…"
338,"Sen. @sonnyangara: With the President’s assurance, it should pave the way for more acquisitions by the private sector. Since the vaccines are only under EUA, these  cannot be sold commercially but can be procured by companies for their employees &amp; their families. | @meltlopez"
339,"RT @PN_1984: I no longer trust: the media, US gov’t, CDC, WHO, US medical system, most doctors (some good ones still exist), courts &amp; judge…"
340,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
341,RT @DrSJaishankar: Never too far for friendship. 
342,Made in India vaccines arrive in Paraguay.
343,#VaccineMaitri https://t.co/UxdbKlqwAN
344,"RT @aslavitt46: BREAKING: President Biden announces that by April 19, 90%+ of Americans over 16 will be eligible for a vaccine and live wit…"
345,"RT @PN_1984: I no longer trust: the media, US gov’t, CDC, WHO, US medical system, most doctors (some good ones still exist), courts &amp; judge…"
346,RT @Vikas_Kaha_Hai: #GoBackModi
347,"This is Dirty politics from Bjp Modi Govt ,SHAME"
348,Centre rejects BMC's request to allow door-to-door for va…
349,It's Open Season on Covid-19 Vaccines https://t.co/VHrK9ALdh2
350,"RT @bsindia: In an attempt to make India self-reliant in manufacturing raw material for vaccines and other chemicals, #BharatBiotech has ti…"
351,"The Moderna and Pfizer-BioNTech vaccines are very effective in real-world conditions at preventing infections, the C.D.C. reported. by BY GINA KOLATA via NYT New York Times https://t.co/0ZjleXlofF"
352,'Don't believe information on WhatsApp university; COVID vaccines completely safe': Health minister Times Now https://t.co/h2kcw79eEZ
353,"The Moderna and Pfizer-BioNTech vaccines are very effective in real-world conditions at preventing infections, the C.D.C. reported. by BY GINA KOLATA via NYT New York Times https://t.co/KSbziKGw8V"
354,RT @k_helca: @mfa_russia @DutchMFA @rusembassynl @ForeignStrategy @IntlCrimCourt @POL_DenHaag @WybrenvanHaga @thierrybaudet @PieterOmtzigt…
355,"@MichelleKeto @JamesWeston82 @13sarahmurphy @mrjamesob Grow up. The gif is completely accurate. The UK hasn’t exported a single dose, the EU has exported half the vaccines produced in the EU."
356,Ironically the EU has exported more doses to the UK than any other country.
357,"@ApollonSergal It has been tested long enough for 5 of them to be released, all the side effects are almost the same: Numbness in the injection area, dizziness, ... "
358,"Some people vomit in extreme cases, but all of that are just normal vaccine effects you also get with other strong vaccines."
359,RT @RMCpost: Vaccinating Indians might not get a Nobel... But distributing vaccines free to the world or selling it cheap might get @Narend…
360,"RT @celinegounder: VERY GOOD NEWS: Real-world evidence that the Pfizer and Moderna mRNA vaccines prevent infection, not just disease and de…"
361,RT @DanielBleakley: Nurses can't even get appointments for vaccines in QLD.
362,"I thought ""the eagle has landed""?"
363,RT @KoenSwinkels: Intensive human farming.
364,And hurry hurry no time to waste it's safe get the kids get all the kids it's safe no time to w…
365,RT @DrSJaishankar: Standing with Sahel. Made in India vaccines reach Niger.
366,#VaccineMaitri https://t.co/lNqbfEL3d0
367,"@muzzlefreemadam @wendyemily2 I don't see how the selfish Privileged around the world having vaccines before those at higher risk, encourages other ppl to have the vaccine...fair enough having 80 year olds in front of the camera, any politician no"
368,RT @Capulcu_Orcun: Nice ??
369,2 more: 
370,If vaccine are safe why manufacturers are exempt from liability claims? 
371,Why people are being vaccina…
372,RT @peoplesvaccine: Shocking new #PeoplesVaccine survey just out: 
373,2/3s of epidemiologists warn mutations could render current #COVID19 va…
374,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
375,"RT @EricTopol: This is the bonus factor. Vaccines were designed to protect against illness, which they've done exceedingly well. To contain…"
376,Sustainable development &amp; global depopulation!
377,"In next 25 years, u won't be able to produce any children naturally. Here, they're blaming plastics, pollution etc., but the real causes will be alterations in DNA (by injecting COVID vaccines). #COVID?19"
378,https://t.co/vVm84UQYuK
379,MORE HERE - 
380,https://t.co/lzdkWdnLV6
381,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
382,RT @Kenyans: We can use the money for BBI to buy vaccines. - Edwin Sifuna. https://t.co/WOExf4Z1N8
383,"RT @middle_voter: All the vaccines in the world won’t bring back the 150,000 who died because of Govt failures."
384,Don’t let the Tories get a…
385,"RT @realJonRiley: The vaccines DO prevent you from spreading covid, not just from getting sick. Scientists don’t make claims without data,…"
386,"RT @Matthew_4_Trump: The ""scientists"" are now saying we will need new vaccines within a year."
387,The plandemic that never ends. Because it's…
388,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
389,Legend @StansaidAirport
390,Vaccines work! If you think they don't: so dumb.. https://t.co/YN17EjNTyw
391,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
392,"RT @simongerman600: It's important to understand what this ""efficacy rate"" number means when we are talking about vaccines. This video by @…"
393,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
394,"RT @denniskioko: People are dying as the world suffers a drastic shortage of vaccines, all because Bill Gates and the West have held on to…"
395,RT @GitaGopinath: Here is a snapshot of the largest producers of vaccines. Much more supply is in the pipeline but all countries will need…
396,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
397,RT @Naija_PR: NAFDAC has just raised  an alarm over fake COVID-19 vaccines in Nigeria
398,RT @joshburnsmp: Remember last week when Greg Hunt and Scott Morrison said we didn't need to have a sense of urgency with their vaccine rol…
399,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
400,"Pfizer, Moderna vaccines 90 percent effective in preventing coronavirus infections in U.S. study of essential workers, CDC says https://t.co/X0RdJpmNcd"
401,"@justinamash Clearly you haven't travelled much to countries where you need your yellow fever, tetanus, etc #vaccines.  That little document is always with my passport esp for Central/South America"
402,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
403,RT @WhiteHouse: How were the COVID-19 vaccines developed so quickly — and can Dr. Fauci explain in 15 seconds or less? Watch below to find…
404,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
405,RT @CDCgov: A new @CDCMMWR finds mRNA #COVID19 vaccines highly effective in preventing COVID-19 among health care &amp; other essential workers…
406,RT @samasjapi: Good News for all #FreeBreathers below 
407,"LETTER TEMPLATES TO CHALLENGE MASKS, &amp; DECLINE TESTING &amp; VACCINES"
408,This is from Mir…
409,"RT @DrZweliMkhize: As of today, the total number of confirmed #COVID19 cases is 1 545 979 the total number of deaths is 52 710 the total nu…"
410,RT @euronews: #Moldova doesn’t even have enough COVID-19 vaccines to cover its medical staff.
411,Watch the full report on #UnreportedEurope h…
412,RT @BBCAfrica: Johnson &amp; Johnson says it will supply up to 400m doses of its vaccine to the African Union's member states.
413,The jab is a sin…
414,"RT @eresc79: 16. We hope that we can stop the variants with vaccines, right? "
415,"Well, a group from Harvard measured the efficacy of the Pfiz…"
416,"RT @PGoldschmeding: #vaccine specialist, #GeertVandenBossche, is risking his reputation and his career by speaking FIRMLY out against admin…"
417,"Pfizer, Moderna COVID-19 vaccines highly effective after first shot in real-world use, U.S. study shows https://t.co/yx739esxSW"
418,"RT @news18dotcom: The Mumbai civic body has taken over all ICU beds and 80 per cent of all Covid beds, which will be reserved for centralis…"
419,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
420,RT @Kenyans: We can use the money for BBI to buy vaccines. - Edwin Sifuna. https://t.co/WOExf4Z1N8
421,RT @ruthheasman: For those who believe vaccines should be mandated and vax passports are a good idea... I do not owe you my life or what’s…
422,RT @davemacladd: if Barnard Castle is now going to be used to make vaccines where will Dominic Cummings go to get his eyes tested
423,"From the beginning of the #COVID19 pandemic, our company has recognized that no one is safe until everyone is safe, and we have been committed to equitable, global access to new COVID-19 vaccines. "
424,More information on our AVAT and COVAX announcements ?? https://t.co/WeGthEud6x
425,RT @MrsNoone47: So GlaxoSmithKline at Barnard Castle have got the contract to bottle 60m Norovax vaccines and this has absolutely nothing t…
426,Vandana Shiva: Bill Gates Empires ‘Must Be Dismantled’
427,.... stranglehold on global health
428,".... Gates and the WHO — ... working hand in hand pushing for a global vaccination campaign, and Gates has a great deal of money invested in these vaccines.https://t.co/1zp0n1J058"
429,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
430,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
431,"BBCBusiness ""Big interview with the boss of GSK Vaccines on today's #WakeUpToMoney podcast"
432,Roger Connor says Glaxo isn't looking to make a profit from its UK only tie-up with Novovax 
433,"https://t.co/75INraPuje"""
434,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
435,"RT @news18dotcom: The Mumbai civic body has taken over all ICU beds and 80 per cent of all Covid beds, which will be reserved for centralis…"
436,@yabaleftonline But forget he's damn right .. what are we taking this vaccines for ?  Does covid 19 exist ?
437,RT @Ausshot3Dave: @prudinx @blakandblack @nowsgood320 @MpBev @PeterPyke @LadyPoop2 @kateju9 @libliars @jannybabe21 @WgarNews @WillPBuchanan…
438,RT @BreesAnna: Hang your heads in shame journalists. Instead of debating with these professors and doctors - the new journalistic tool is s…
439,Gizmodo: It's Open Season on Covid-19 Vaccines https://t.co/OodwrwJlVj https://t.co/ISyt3lhsvA
440,This charlatan bitch is pretending that—in the year of our lord 2020—he was the first guy to come up with the idea of a vaccine for a virus.
441,https://t.co/Ub5YUTtGEK
442,"??#COVID19 vaccines block pretty much all serious cases of illness and death. But now, evidence is mounting that the vaccines block infection and prevent transmission. The vaccines protect others around you.???"
443,@attyharryroque
444,@ivanmayrina
445,@Joseph_Morong
446,https://t.co/V957t3MqqG
447,RT @Vikas_Kaha_Hai: #GoBackModi
448,"This is Dirty politics from Bjp Modi Govt ,SHAME"
449,Centre rejects BMC's request to allow door-to-door for va…
450,"RT @harrylitman: Vaccine passports are a good idea. Among other things, it will single out the still large contingent of people who refuse…"
451,@drdrew We've been in lockdown with schools closed for 3 months and are wearing masks. Vaccines are only for the over 55s so far. It's all helping to be sure.
452,RT @todayng: Nigerian government dispels possibility of fake coronavirus vaccines https://t.co/9bAvZrliEA
453,"With the arrival of a new batch of Sinovac and AstraZeneca vaccines in the country, a total of 21,600 vaccines against Covid-19 will be allocated for Cebu. https://t.co/HfBpKUHLnj"
454,"RT @sumanthraman: Govt of India immediately needs to approve more #Covid vaccines like Pfizer, Moderna and J&amp;J. Already evaluation is going…"
455,"@redsteeze This is a good thing. If Jim Acosta says the vaccines are highly effective, everyone should believe him. After all, he did say there was no national emergency at the border. https://t.co/Ry6DJcDszZ"
456,RT @loindevant: Miscarriages skyrocket 366% in six weeks due to Covid vaccines https://t.co/dgUzs3Y2jy
457,RT @BreesAnna: Hang your heads in shame journalists. Instead of debating with these professors and doctors - the new journalistic tool is s…
458,Except for the 20 million vaccines from the EU that have already been used. What a ridiculous rag. ???? https://t.co/pDN0u9t8R1
459,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
460,"@naomirwolf @ericmetaxas No vaccines for children either, or my dogs while we’re at it! Tyranny must end."
461,"@TheHazelBowden @zeynepyenisey That’s now how vaccines work. Vaccines are meant to protect the vaccinated, not anyone else."
462,"YouTube, And SoundCloud (so far) Removed 80% of conspiracy accounts.. "
463,Anything dealing with:
464,Vaccines
465,Global Gov' + NWO
466,Corruption
467,Population Control
468,Illuminati
469,Reptilians
470,1%
471,Consciousness.. is gone.. 
472,?? Something is on the horizon.. ??
473,Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
474,RT @TheSamirAbbas: There are only a few rare cases wherein people contracted COVID-19 after taking vaccines. Even if someone tests positive…
475,RT @DrSJaishankar: Never too far for friendship. 
476,Made in India vaccines arrive in Paraguay.
477,#VaccineMaitri https://t.co/UxdbKlqwAN
478,"RT @middle_voter: All the vaccines in the world won’t bring back the 150,000 who died because of Govt failures."
479,Don’t let the Tories get a…
480,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
481,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
482,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
483,RT @k_helca: @mfa_russia @DutchMFA @rusembassynl @ForeignStrategy @IntlCrimCourt @POL_DenHaag @WybrenvanHaga @thierrybaudet @PieterOmtzigt…
484,"RT @wellcometrust: We don't currently have enough vaccines for everyone, so how should we prioritise who gets them first?"
485,Find out more at…
486,RT @angie_rasmussen: Kids are not immune to SARS-CoV-2. Reaching the herd immunity threshold doesn’t just mean vaccinating adults. It means…
487,"RT @LegalizeitLala: If vaccines work, why do you need a mask after getting one? ??"
488,"@mcpete So do everything the British did but lockdown earlier. Never discredit a vaccine, Create manufacture vaccines in your country, have a supply of all ingredients, have your own PPE to hand especially when Chinese New year is around the corner. Help all poorer countries with COVAX."
489,RT @DrSJaishankar: Never too far for friendship. 
490,Made in India vaccines arrive in Paraguay.
491,#VaccineMaitri https://t.co/UxdbKlqwAN
492,"RT @BNODesk: NEW: CDC study finds Pfizer/Moderna vaccines are not only effective against symptoms, but also 90% effective against coronavir…"
493,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
494,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
495,"RT @JudyWoodruff: ""I don't understand the lifting of mask mandates, because, for the time being, we need to understand masks and vaccines a…"
496,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
497,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
498,RT @AssusReamus: Have the COVID vaccines lulled you into a false sense of security &amp; no mask?
499,(Please Follow &amp; I’ll Follow Back)
500,@sukumar_m @Loquacious_Lion It is important to look at the details &amp; make no excuses. 1. Who made the claims 2. What the purpose behind the claim (motivation) 3. Did we prepared the current team with this learning. Remember the success of those vaccines happened decades ago 4. Competency or lack there of..
501,"RT @GeorgeB40073409: For a whole year, everything we've been told about #COVID19 has been incorrect (or a lie)."
502,Asymptomatic transmission -…
503,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
504,"See ehn, being cautious about the Covid 19 vaccine does not equate to being anti vaccines. Nobody bears any liability for any uninformed side effects of vaccines. Secondly, there's no way of knowing the long term side effects because it has not been used for a ""long term"" yet."
505,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
506,RT @astroehlein: ?? Experts say we have a year or less before first-generation Covid-19 vaccines are ineffective &amp; modified formulations are…
507,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
508,@LinkolaStan You simply cannot because you do not have the actual resources of a big pharma corp https://t.co/QQaySUNgkO
509,"RT @celinegounder: VERY GOOD NEWS: Real-world evidence that the Pfizer and Moderna mRNA vaccines prevent infection, not just disease and de…"
510,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
511,"The Moderna and Pfizer-BioNTech vaccines are very effective in real-world conditions at preventing infections, the C.D.C. reported. by BY GINA KOLATA via NYT New York Times https://t.co/5dGrr890VC"
512,RT @Vikas_Kaha_Hai: #GoBackModi
513,"This is Dirty politics from Bjp Modi Govt ,SHAME"
514,Centre rejects BMC's request to allow door-to-door for va…
515,RT @WhiteHouse: How were the COVID-19 vaccines developed so quickly — and can Dr. Fauci explain in 15 seconds or less? Watch below to find…
516,@243Andrew @ChapelGuilt @jackandthebear @3omarlakkis @MPIainDS Why don’t you get it
517,This isn’t a game. Giving vaccines away would be killing Uk citizens
518,Of course we will get and help other counties when the U.K. is safe. But the job of UK gov is to protect its people
519,I can’t work out why you think that makes then the bad guys Its crazy
520,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
521,"RT @rupagulab: The Modi govt doctrine: we will give vaccines to poorer nations to look good, but we will not give food and shelter to refug…"
522,"“Where is the ambitious global goal? A goal that the science tells us is needed?’ I think that’s the key point – we just don’t see the ambition that would go along with it, widespread recognition that limited vaccination is quite dangerous.” https://t.co/M3cRDFdrWC"
523,"RT @zeevs: Positivity rate fell today well below 1% for the first time since forever, despite the fact that Israel is now almost fully open…"
524,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
525,RT @Kenyans: We can use the money for BBI to buy vaccines. - Edwin Sifuna. https://t.co/WOExf4Z1N8
526,"COVID-19 vaccines from Pfizer, Moderna very effective after first shot: US real-world study - https://t.co/LHpPePy0u5"
527,https://t.co/LHpPePy0u5
528,"RT @NYGovCuomo: #BREAKING: Starting Tuesday, April 6 at 8am, all New Yorkers age 16+ will be eligible to schedule and receive the COVID-19…"
529,"RT @CBCC_Africa: Are you a teacher? The vaccines are available for you. Let's get vaccinated and protect ourselves,  our loved ones and our…"
530,"RT @BNODesk: NEW: CDC study finds Pfizer/Moderna vaccines are not only effective against symptoms, but also 90% effective against coronavir…"
531,"RT @waldimar: A sleepy ANC president Cyril Ramaphosa bemoans ""vaccine apartheid"", a phenomenon which apparently unfairly privileges countri…"
532,"RT @aliceolilly: Dec 2020: we’ve invented Covid vaccines within a year, that’s amazing "
533,"Feb 2021: wow we’ve landed a craft on Mars, that’s…"
534,"RT @andivamorgan: Edwin Sifuna to Karanja Kibicho: ""if there was any money budgeted for BBI, use it to buy Vaccines""???????? #UhuruMalizaUende…"
535,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
536,RT @BreesAnna: Hang your heads in shame journalists. Instead of debating with these professors and doctors - the new journalistic tool is s…
537,RT @Elexonic: Pfizer and Moderna COVID-19 vaccines are 90% effective in 'real-world' study https://t.co/O0xJ8UsbHo
538,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
539,RT @nytimes: Breaking News: The Moderna and Pfizer vaccines are proving highly effective in preventing coronavirus infections under real-wo…
540,RT @MoriartyProfJ3: Aaah... Just think of all the sheep that have lined up for the first two. Baaaa ??????
541,https://t.co/f2YhLVFrPt
542,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
543,RT @Kenyans: We can use the money for BBI to buy vaccines. - Edwin Sifuna. https://t.co/WOExf4Z1N8
544,RT @Ryan_Mucilih: We can use the money for BBI to buy vaccines. - @edwinsifuna . Sounds #Heartbroken https://t.co/j99ZmalPWw
545,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
546,RT @maribrvo: help our south central elders and the most vulnerable members of the community to take advantage of the vaccines they are ent…
547,"@jannieb18 @hazboy @miguel_says DYOR is a personal responsibility not to be delegated to Govt, NHS or @MHRAgovuk, when it comes to an experimental trial of novel vaccines to counter the effect of Covid-19 infection by the relatively benign SARS-CoV-2 virus."
548,Always worth a second opinion?
549,https://t.co/veXuIjR8Ea
550,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
551,"@DrSJaishankar In Bengal Famine 1943, Britishers moved all grains from India to UK etc to fill reserves for their soldiers. That resulted 3 million deaths in Bengal. "
552,"For this PR exercise, you’re doing the same to Indians. Moving vaccines to earn brownie points and letting Indians die!"
553,"Coronavirus in India Live Updates: Both Indian vaccines safe, effective, says Harsh Vardhan"
554,https://t.co/Hq8pbGPQWi
555,"March 30, 2021 at 07:30AM https://t.co/vI5CiJZ0T3"
556,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
557,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
558,"RT @jigneshmevani80: Seeing the massive second wave of COVID, Modi government should empower state governments to take decision on vaccine…"
559,RT @NateSilver538: Lots of data to suggest a fairly rapid increase in social activity in the US as cases begin to rise again.
560,Some of it i…
561,"Under real world conditions and at full vaccination, the Pfizer and Moderna Covid-19 vaccines are 90% effective at preventing infections,   including infections that have no symptoms, according to the US Centers for Disease Control and Prevention https://t.co/OAEtV1mbnX"
562,"@RichardGramlow I always carried the number in my head of 1:1,000,000. When I went to find a citation to prove that, I wasn't able to! "
563,"I did a count of VAERS reports of influenza vaccine-associated deaths, and relative to estimated number of flu vaccines given, VAD rate was 50-100 times lower"
564,RT @PresidencyZA: South Africa secures 30 million Johnson &amp; Johnson vaccines https://t.co/ggpSkLLzQ7 #WeAreVaccination #InvestSA ???? https:/…
565,RT @jnyairo: S?? N? ?? s??? ?? ???????s. 
566,M?ss ??????????? ?????. 
567,S??? ??? ?????????? s???????. 
568,[If you must camp here discussing people…
569,@TruthShallSetU2 @jerryqsmithh The medical community has a horrible history for it's lack of care and harm to black people.
570,My point is only that vaccines DO work. And I don't see what that has to do with white supremacy.
571,Not only that! He has also urged people to take the vaccines. @mkstalin  will be a people’s CM unlike the @EPSTamilNadu who is a poster boy of BJP portraying himself as a people’s CM.
572,#VoteForDMK #MKStalin #MKStalin4TN https://t.co/cAKiCWQZlF
573,RT @Gtowngirl8: @Bret_Sears The only reason Canada bought up these vaccines was to make Trudeau look good for the shortage! Now I jumped on…
574,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
575,RT @RealMattCouch: My God these morons are pushing masks again with vaccines... if one works then you don’t need the other... 
576,In the mean…
577,RT @MrsNoone47: So GlaxoSmithKline at Barnard Castle have got the contract to bottle 60m Norovax vaccines and this has absolutely nothing t…
578,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
579,???? ???? UK billboard shows Queen Elizabeth II thanking Indian PM for #COVID19 vaccines? ?
580,The image has been digitally manipulated to include a fabricated quote from the Queen https://t.co/Zc9qaRI2XT
581,"RT @UNMigNetwork: We will recover from the pandemic quicker, better &amp; more sustainably if we:"
582,??Include migrants in response &amp; recovery pl…
583,"The Moderna and Pfizer-BioNTech vaccines are very effective in real-world conditions at preventing infections, the C.D.C. reported. by BY GINA KOLATA via NYT https://t.co/9QoHvoMTej https://t.co/RVD1MJzQFH"
584,"RT @zeynepyenisey: side note: ""anti-vaxxer"" is an idiotic label for this situation. you're more than welcome to get 10 vaccines if you want…"
585,RT @iwriteasiwrite: It’s too late. Private sector is chasing allocations for late this year and next year.
586,After spending months impeding…
587,"RT @Modmuffin: ""Tell the nation you are producing 60 million vaccines at Barnard Castle"" https://t.co/PsEbVqc9WQ"
588,RT @DiseaseEcology: I can't believe this is still being shared by people that should know better. Protection is NOT 100% for any of these v…
589,I'm a medical professional and there's no way i'm letting someone who rely on traditional medicine spread misinformation about vaccines. https://t.co/Kegrgm5aiE
590,"@McConnellDaniel @MichealMartinTD I'd take more notice of a bedroom cabinet than these Covid coup chancers.I can tell Martin what ""State"" the nation is in,its wrecked almost beyond economic and social repair and he's a major part of the https://t.co/Z7jY9jpc8r year in its sick, where's the Vaccines Martin? Dunce."
591,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
592,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
593,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
594,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
