topic,id,username,name,user_followers_count,user_friends_count,text,created_at,favorite_count,retweet_count,hashtags,mentioned_urls,mentioned_user_ids,mentioned_user_names
covidvaccines,1385362545725345796,maryserb17,Sharon Brown,603,625,For a moment I thought it was 11.3M doses of #COVIDVaccines 🙄😞🤣🇯🇲 https://t.co/bOu24I3Uo6,2021-04-22 22:39:04,0,0,COVIDVaccines,https://t.co/bOu24I3Uo6,,
covidvaccines,1385359301280243713,maryserb17,Sharon Brown,603,625,I hear we are trying to source additional doses of #COVIDVaccines  💉😷🤭🇯🇲🇺🇸 https://t.co/jlFhKAnhB5,2021-04-22 22:26:10,0,0,COVIDVaccines,,,
covidvaccines,1385358342835503105,ChristineRedlin,Christine Redlin,951,1944,Polite physical distanced pooch doing his part 6 feet apart :) We keep up the good work too to avoid spreads and to stay healthy for better days ahead for all! #COVID19 #COVIDVaccines https://t.co/GvS2fmdKLT,2021-04-22 22:22:22,0,0,"COVID19,COVIDVaccines",,,
covidvaccines,1385357555665227776,BayAreaBiker,Rahul,312,138,"RT @HaryaxPathak: Some were baying for Pfizer-Moderna to come to India. With their price-tag of Rs. 1500-2500/dose.

The same people are no…",2021-04-22 22:19:14,0,105,,,571479724,HaryaxPathak
covidvaccines,1385357307479945220,deekaykale,D Kale,336,1961,RT @rananth: Why are we exporting vaccines at all? Please listen to this reply from the Foreign Minister himself. #VaccineMaitri #COVIDVacc…,2021-04-22 22:18:15,0,715,VaccineMaitri,,52343977,rananth
covidvaccines,1385356618154582017,Richiebegood,RichieBeGood,182,123,"RT @uspirg: Let's get the facts right. Consumers do not pay for COVID tests or vaccines. #COVIDtests #COVIDvaccines @CDCgov @CMSGov 
  http…",2021-04-22 22:15:31,0,3,"COVIDtests,COVIDvaccines",,"42660729,146569971,70837868","uspirg,CDCgov,CMSGov"
covidvaccines,1385356615897915394,SuperbSpeakers,Superb Speakers,556,1828,"Since April 19th Many #HoustonLocations And #NRG   

Free To Everyone, Walk-In,  #CovidVaccines

 Ready For 

You. Most sigh #Relief once they are

 #vaccinated. 

#OpenUp  #HealthyAmerica 

https://t.co/0ZWgCmGoSJ https://t.co/TzWX1eonO3",2021-04-22 22:15:30,0,0,"HoustonLocations,NRG,CovidVaccines,Relief,vaccinated,OpenUp,HealthyAmerica","https://t.co/0ZWgCmGoSJ,https://t.co/TzWX1eonO3",,
covidvaccines,1385356335328292865,pvijayendran,Vijayendran 🇮🇳,91,174,RT @bydivyac: Just as @CMOTamilNadu announced earlier #TamilNadu government today says that they will provide #vaccines free of cost to pub…,2021-04-22 22:14:23,0,51,"TamilNadu,vaccines",,"3491727014,844890761409777664","bydivyac,CMOTamilNadu"
covidvaccines,1385355071584567300,ufvenus01,Kristi's Korner,183,646,"@CNN  reported we are close to a supply demand issue with #covidvaccines- too much supply, waning demand. @JoeBiden @KamalaHarris @GavinNewsom employers are ready to help!! Pivot to us to manage onsite vax events! Help us get *national* allocation. Let our flu shot vendors help!",2021-04-22 22:09:22,0,0,covidvaccines,,"759251,939091,30354991,11347122","CNN,JoeBiden,KamalaHarris,GavinNewsom"
covidvaccines,1385352715677564930,uspirg,U.S. PIRG,9784,3480,"Let's get the facts right. Consumers do not pay for COVID tests or vaccines. #COVIDtests #COVIDvaccines @CDCgov @CMSGov 
  https://t.co/T2hGiVa47c",2021-04-22 22:00:00,3,3,"COVIDtests,COVIDvaccines",https://t.co/T2hGiVa47c,"146569971,70837868","CDCgov,CMSGov"
covidvaccines,1385351220349579266,Adreameroflive,Dreameroflife,197,100,"RT @my_thoughts_too: 🚨 SHARE 🚨

#bijwerkingen #coronavirus #coronavaccin #vaccin #COVIDVaccines 

https://t.co/uz4XaBGCFO",2021-04-22 21:54:04,0,6,"bijwerkingen,coronavirus,coronavaccin,vaccin,COVIDVaccines",https://t.co/uz4XaBGCFO,2637167463,my_thoughts_too
covidvaccines,1385349744336068615,Jpana75,YNWA,658,641,"Next will come “no evidence to suggest” the #COVIDVaccines pose a risk to children..

Then will come “No jab, no school”

https://t.co/8b5TkI4DRT",2021-04-22 21:48:12,1,0,COVIDVaccines,https://t.co/8b5TkI4DRT,,
covidvaccines,1385347190994968583,janet_cutts,"JanetCutts 🥛 @Telegram,Parler",4992,3962,"RT @GillRaeWalker: Anyone worried about any vaccines including #COVIDVaccines , please watch this convincing short clip.  It is about alumi…",2021-04-22 21:38:03,0,1,COVIDVaccines,,3131117019,GillRaeWalker
covidvaccines,1385346888694644739,DBoop4,DBoop,64,227,"🚨💉⚠️🎯🆘️
🆘️#URGENT⚠️ #VACCINE #INFO
Did You Hear The #News About #Fake #Covid #Vaccines⁉️
Unbelievable❗
#CovidVaccine #COVIDVaccination 
#COVIDVaccines 
#CovidVaccineScam #Covid19 #SARSCoV2 #coronavirus #virus",2021-04-22 21:36:51,0,0,"URGENT,VACCINE,INFO,News,Fake,Covid,Vaccines,CovidVaccine,COVIDVaccination,COVIDVaccines,CovidVaccineScam,Covid19,SARSCoV2,coronavirus,virus",,,
covidvaccines,1385346019022434306,ameen_off,சாதிகுல் அமீன்,181,367,"RT @Dayanidhi_Maran: So this is Modi’s New India?
1. Modi’s vaccine friends say they're not making profits supplying #COVIDvaccines to Indi…",2021-04-22 21:33:24,0,62,COVIDvaccines,,763681403821109248,Dayanidhi_Maran
covidvaccines,1385345637559017474,allanarchie,Allan C,616,1640,"RT @NHSSheffieldCCG: The #COVIDVaccines have gone through the same thorough testing as all new medicines, and have been approved as safe to…",2021-04-22 21:31:53,0,3,COVIDVaccines,,109237832,NHSSheffieldCCG
covidvaccines,1385344629223067653,MaryBakerArt,Mary Baker Art,700,767,"RT @Surgeon_General: MYTH: #CovidVaccines can give you #COVID19.

FACT: The vaccines don’t contain live virus. They can’t give you COVID-19…",2021-04-22 21:27:52,0,248,"CovidVaccines,COVID19",,455024343,Surgeon_General
covidvaccines,1385344465670348808,Indian_Leads,NationFirst,115,454,"RT @SobhaBJP: After Assam, Karnataka places order for 1 crore #COVIDVaccines. @CMOKerala is still deliberating. Where’s your haste now, @vi…",2021-04-22 21:27:13,0,96,COVIDVaccines,,"838397132348469249,737583593245937664","SobhaBJP,CMOKerala"
covidvaccines,1385341523131240450,docthakker,Dr. Amit N. Thakker,2623,745,"There are now 91 COVID vaccines candidates undergoing clinical trials. Another 184  candidates in pre-clinical development.

There are 4 phases and here is the WHO tracker link #healthcare #clinicaltrials #covidvaccines https://ln…https://t.co/BejeHQH4MM https://t.co/5lYs4VbfMu",2021-04-22 21:15:32,0,0,"healthcare,clinicaltrials,covidvaccines","https://t.co/BejeHQH4MM,https://t.co/5lYs4VbfMu",,
covidvaccines,1385341256822185985,WhatMollySaid,Molly Blue Dawn,1618,317,"RT @ejwillingham: #marin co taking all comers at conference ctrl site the rest of this week, anyone arriving before 2:30 pm, from anywhere,…",2021-04-22 21:14:28,0,2,marin,,77907514,ejwillingham
covidvaccines,1385340916295217163,PromisedMePie,Krupo 🇨🇦,696,674,"RT @sarah_hatton: Srsly, a vaccine couldn’t possibly scare us. 

#GenXZeneca #GenX #COVIDVaccines https://t.co/fN4caA5yH2",2021-04-22 21:13:07,0,8,"GenXZeneca,GenX,COVIDVaccines",,138096852,sarah_hatton
covidvaccines,1385339221901074433,InfinitePFilms,Infinite Perimeter,2887,3021,"RT @FreedomAllian11: It won't stop at care home workers...

Mandatory #vaccines have no place in a free society. They are a violation of th…",2021-04-22 21:06:23,0,234,vaccines,,1337361489171197952,FreedomAllian11
covidvaccines,1385339205119881219,MarzipanMrs,Mrs. Marzipan,229,262,"Where are we standing? Which #COVID19Vaccines are authorized in the EU?
#VaccinationCovid #COVIDVaccines #COVIDー19 #vaccines https://t.co/jH6cfYUCg1",2021-04-22 21:06:19,3,0,"COVID19Vaccines,VaccinationCovid,COVIDVaccines,COVIDー19,vaccines",https://t.co/jH6cfYUCg1,,
covidvaccines,1385338797630529542,InfinitePFilms,Infinite Perimeter,2887,3021,Did you know? Many are warning of a nearly 300 percent increase in the number of older Americans with dementia by 2030 #dementia #Population2030 #UnitedStates #covidvaccines https://t.co/j916XxNYG0,2021-04-22 21:04:42,1,0,"dementia,Population2030,UnitedStates,covidvaccines",,,
covidvaccines,1385336351424274437,prachiaroraa,Prachi,116,152,"RT @DrManita: Mask is the vaccine before you get the jab.
Once you are eligible get the vaccine
#COVIDVaccines Work!!!",2021-04-22 20:54:59,0,6,COVIDVaccines,,234673924,DrManita
covidvaccines,1385335044835741696,rr_roberson,Rachel Roberson,1084,1633,"RT @KQEDedspace: During #distancelearning, HS chemistry teacher @workman_chang has turned to #mediamaking projects to assess student learni…",2021-04-22 20:49:47,0,3,"distancelearning,mediamaking",,"352537935,966022144000802816","KQEDedspace,workman_chang"
covidvaccines,1385333028755578880,HealioGastro,Healio Gastroenterology,9706,1190,".@AmerGastroAssn: Despite receiving biologics, IBD patients develop antibodies after COVID-19 vaccines, accoriding to Serre-Yu Wong from .@IcahnMountSinai and colleagues #COVID19 #IBD #COVIDVaccines
https://t.co/QWQEirOraB https://t.co/dzzHBvrBkf",2021-04-22 20:41:46,0,0,"COVID19,IBD,COVIDVaccines",https://t.co/QWQEirOraB,"50088781,1268038951","AmerGastroAssn,IcahnMountSinai"
covidvaccines,1385329711824490496,laurabojangles,laura wallace,103,872,"RT @WolvesCouncil: Research shows the #CovidVaccines have saved more than 10,000 lives in the England since rollout began, so it’s importan…",2021-04-22 20:28:36,0,5,CovidVaccines,,176827202,WolvesCouncil
covidvaccines,1385327668518785025,thecracknw,🆇13●•ツ,188,608,"The main elements of the Liberalised Pricing and Accelerated National 
Covid-19 Vaccination Strategy that 
would come in effect from 1st May 2021

by #mhfw

#COVIDVaccination #COVIDVaccines #VaccineFacts #CovidIndia #COVID19India #CovidVaccine #COVIDEmergency2021 https://t.co/dhMLwv7qvq",2021-04-22 20:20:28,0,0,"mhfw,COVIDVaccination,COVIDVaccines,VaccineFacts,CovidIndia,COVID19India,CovidVaccine,COVIDEmergency2021",,,
covidvaccines,1385325354227847171,mstmo1983,Mstmo1983@gmail.com,49,135,"@RepFredKeller All #American are able to get #COVIDVaccines
Special thanks to #trump @GOP for downplay #COVID19 with @FoxNews &amp; @TuckerCarlson @HouseGOP
Most #Patriots are refusing it bc #GOP told #BigLie &amp; blaming @SenateDems &amp; @POTUS @VP for #COVID19 ""hoax""
@GOPoversight 
@OversightDems https://t.co/V5ta7LfvfE",2021-04-22 20:11:17,0,0,"American,COVIDVaccines,trump,COVID19,Patriots,GOP,BigLie,COVID19",,"1136060761422405633,11134252,1367531,22703645,15207668,73238146,1349149096909668363,803694179079458816,22508473,31122582","RepFredKeller,GOP,FoxNews,TuckerCarlson,HouseGOP,SenateDems,POTUS,VP,GOPoversight,OversightDems"
covidvaccines,1385324532572082179,TastyRavage,Papa,5,62,@Squid_CA @Clayster I’ve gotten vaccines in the past The COVIDvaccines are completely different Theyspent years trying to develop a safe and effective mRNA but have failed every time.Animal trials showed severe reactions. Uninformed people that go off of news articles are the ones spreading misinfo,2021-04-22 20:08:01,0,0,,,"2928747268,14604870","Squid_CA,Clayster"
covidvaccines,1385324425747341320,DawnHouse302,Dawn House Women's Services,799,690,"Whitby folks... #COVIDVaccines #COVID19Ontario #vhcON 
#Vaccinate https://t.co/5fKlE2PwUU",2021-04-22 20:07:35,0,0,"COVIDVaccines,COVID19Ontario,vhcON,Vaccinate",https://t.co/5fKlE2PwUU,,
covidvaccines,1385324199632379908,hertsmerecovid1,@hertsmerecovidjabs,179,13,"Apologies to all  hard working staff - We have done 30,000 #COVIDVaccines so that is 200 lives saved !",2021-04-22 20:06:41,4,0,COVIDVaccines,,,
covidvaccines,1385323420880150531,TheKanzenRoshi,The Kanzen Roshi,21,159,RT @AshBedar: Relying on/hoping for #COVIDVaccines donations. Requesting people to follow SoPs (even if the government doesn’t always di it…,2021-04-22 20:03:36,0,1,COVIDVaccines,,2212516381,AshBedar
covidvaccines,1385322974278946819,daribaalam,Ayub Minhas,4472,1730,"India is massive,1.4 billion people. Some 2.7 million #COVIDVaccines doses are given daily, but that’s still less than 10 per cent of its people who have gotten their first shot. Overall, India has confirmed 15.9m cases of infection, the 2nd highest after US and 184,657 deaths.",2021-04-22 20:01:49,0,0,COVIDVaccines,,,
covidvaccines,1385322797451431944,JohnNewcombe10,John Newcombe,32,73,"To add my $0.02 worth - I was very glad to get my first dose of AstraZeneca vaccine last week.

It’s a personal choice, but the AstraZeneca vaccine was a great choice for me!
#AstraZenaca #COVIDVaccines #EveryShotHelps https://t.co/D1c64rWbVx",2021-04-22 20:01:07,1,0,"AstraZenaca,COVIDVaccines,EveryShotHelps",https://t.co/D1c64rWbVx,,
covidvaccines,1385322352607698944,IBiteFiercely,🏳️‍🌈🖕Rebel Coal Mine Canary 🤬♀🔻 ⚢ 🧷🔥🏴‍☠️,17297,16417,"RT @Crazy_Mama_G: What's that, Dan? 🤣🤣🤣
#Biden #BidenHarris #Workinghard 
#COVID19  #COVIDVaccines https://t.co/1ihSnk7qiM",2021-04-22 19:59:21,0,1,"Biden,BidenHarris,Workinghard,COVID19,COVIDVaccines",,592993491,Crazy_Mama_G
covidvaccines,1385322077234806786,lainasimone2,Laina Simone,126,557,"@RandPaul Senator Paul, please help us!  #colleges across the US are mandating #COVIDVaccines for students.  It is against federal law to mandate #EUA vaccines.  Our kids shouldn’t be forced to get this!",2021-04-22 19:58:15,0,0,"colleges,COVIDVaccines,EUA",,216881337,RandPaul
covidvaccines,1385321661424152583,Crazy_Mama_G,🌊✊Warrior Mode/Nasty Woman✊🌊 🆘️,36683,31098,"What's that, Dan? 🤣🤣🤣
#Biden #BidenHarris #Workinghard 
#COVID19  #COVIDVaccines https://t.co/1ihSnk7qiM",2021-04-22 19:56:36,1,1,"Biden,BidenHarris,Workinghard,COVID19,COVIDVaccines",,,
covidvaccines,1385321358540824576,lainasimone2,Laina Simone,126,557,"@delbigtree please help our kids!  #colleges around the US are mandating the #COVIDVaccines for students, against federal law.   We need #ICAN to help us fight for our children!!!",2021-04-22 19:55:24,0,0,"colleges,COVIDVaccines,ICAN",,45598972,delbigtree
covidvaccines,1385320837297971212,resistanceguy00,V for VACCINATED!,542,1190,RT @gigiwarriorgirl: Listening to the Rx drug commercials listing the 'side effects' and pondering how people are complaining about the saf…,2021-04-22 19:53:20,0,1,,,761556039980359680,gigiwarriorgirl
covidvaccines,1385320075645837312,txcovidrecovery,TXCOVIDRECOVERY,88,529,"Pfizer Vaccine Clinic tomorrow, April 23rd from 6am-3pm at the Harlingen Convention Center. See below for more information. #TexansRecoveringTogether #Harlingen #Cameron #RGV #COVID19 #COVIDVaccines #Pfizer https://t.co/yCP7lnHRWi",2021-04-22 19:50:18,0,0,"TexansRecoveringTogether,Harlingen,Cameron,RGV,COVID19,COVIDVaccines,Pfizer",https://t.co/yCP7lnHRWi,,
covidvaccines,1385319744274903040,gigiwarriorgirl,GiGi 🦋🦮 🌊 vaccinated 💉💪,7972,7832,Listening to the Rx drug commercials listing the 'side effects' and pondering how people are complaining about the safety of the #COVIDVaccines,2021-04-22 19:48:59,8,1,COVIDVaccines,,,
covidvaccines,1385319135932866561,newstribeindia,newstribeindia,21,40,"Why India gave #COVIDVaccines to many countries? explanation by @DrSJaishankar 
Medicines are typically co-developed. Sourcing Raw materials &amp; production happens in different countries. We cant expect raw materials from others and then ruse them with the final product 
video-Brut https://t.co/0Kc4tm2n0k",2021-04-22 19:46:34,0,0,COVIDVaccines,,859363899291742210,DrSJaishankar
covidvaccines,1385319057214296067,andiphillips1,Andi Phillips,209,773,Covid vaccination day media event with Florida Blue at Chapman Partnership @dgbartel @ChapmanPartner #COVIDVaccines #PR #clientwork https://t.co/g4SlPxPWHD,2021-04-22 19:46:15,0,0,"COVIDVaccines,PR,clientwork",,"1140164130,40002467","dgbartel,ChapmanPartner"
covidvaccines,1385318833305624578,GeneOnlineNews,GeneOnline,3759,3904,"Singapore’s Prestige Biopharma Prepares for Global Vaccine Deals, Constructs Global Vaccine Center in South Korea

#COVID19 #COVIDVaccines #Singapore #prestigebiopharma #GeneOnline

https://t.co/LUPXS0WV8S",2021-04-22 19:45:22,0,0,"COVID19,COVIDVaccines,Singapore,prestigebiopharma,GeneOnline",https://t.co/LUPXS0WV8S,,
covidvaccines,1385318697749946370,capnjonesy,capnjonesy,141,730,@Humble_Analysis Adding it to the list of colleges/univ not requiring Covid vaxx.  Please tag me w/others. Moms against mandatory #COVIDVaccines Moms against #MandatoryMasking @Moms4Liberty @thinktoomuchmom @sallyKP @PamLongCO @Hold2LLC,2021-04-22 19:44:50,11,0,"COVIDVaccines,MandatoryMasking",,"1263958718539984898,1336733113322496000,2344743030,1499607608,1320503149816328192,1099781327489024003","Humble_Analysis,Moms4Liberty,thinktoomuchmom,sallyKP,PamLongCO,Hold2LLC"
covidvaccines,1385318456946475014,plsd2bme,Irene Dwinnell🇺🇸💙💆🏽‍♀️,110,967,@oni_blackstock @pfizer @moderna_tx @JoeBiden I had no idea??? I am disgusted by this. @pfizer #COVIDVaccines must be free. Get them to India and Brazil. @moderna_tx you too and same for #JJVax.,2021-04-22 19:43:52,2,2,"COVIDVaccines,JJVax",,"969781208321331201,56488059,2227355222,939091,56488059,2227355222","oni_blackstock,pfizer,moderna_tx,JoeBiden,pfizer,moderna_tx"
covidvaccines,1385316812972195840,Manonsarkerjoy,Manon sarker joy,3,49,"Truth should be revealed !!! 
#Bangavex #COVIDVaccines",2021-04-22 19:37:20,0,0,"Bangavex,COVIDVaccines",,,
covidvaccines,1385316690645319680,siltstriderridr,CEO of RidIng On Silt Striders ➐,88,89,I didn't know how to speak spanish. But after the #Pfizer #COVIDVaccines i suddenly am fluent in Spanish. https://t.co/j2zA6ppV7c,2021-04-22 19:36:51,4,0,"Pfizer,COVIDVaccines",,,
covidvaccines,1385316403436212230,ForwardFalcon,Sam Melendez,2327,996,RT @DuggerDigs: Ohio has seen a definite dropoff in first doses of vaccine. 38.39% of residents have now received at least one dose. That i…,2021-04-22 19:35:43,0,2,,,161846839,DuggerDigs
covidvaccines,1385315892943273993,GordHighet,Gord Highet,91,127,"RT @DurhamHealth: Stay up-to-date on the latest information about #DurhamRegion #COVID19 clinics, eligibility and more! 💉 

💻 Subscribe to…",2021-04-22 19:33:41,0,7,"DurhamRegion,COVID19",,415773218,DurhamHealth
covidvaccines,1385315785598545931,GillRaeWalker,Gillian Rae-Walker,758,747,"Anyone worried about any vaccines including #COVIDVaccines , please watch this convincing short clip.  It is about aluminium nanoparticles which DO get into the brain.  The questions have not been asked and the research not done: https://t.co/k2kqqNPE60 @Rosietweet1 @MaidmentRos",2021-04-22 19:33:15,5,1,COVIDVaccines,https://t.co/k2kqqNPE60,"1962214610,1287695550435950592","Rosietweet1,MaidmentRos"
covidvaccines,1385315199410966528,JRodzMIA,JRodriguez,1264,737,Bi-county #COVIDVaccines push begin as mayor hospitals announce end of public #vaccination campaigns @BoentesT51 @Telemundo51 #vaccinenews https://t.co/sUNUnTQZn7 https://t.co/yEGvz5bZgX,2021-04-22 19:30:56,0,0,"COVIDVaccines,vaccination,vaccinenews",https://t.co/sUNUnTQZn7,"557605543,62824212","BoentesT51,Telemundo51"
covidvaccines,1385315142464950276,PatrioticSpirit,❌SpiritOfLiberty❌,3211,3735,"#GermanMicrobiologist: To #ReduceWorldPopulation, “They are #KillingPeople with these #COVIDVaccines” (Video)

Yet another #Scientist comes out saying #mRNAInjection being used for #Depopulation!

#FollowTheScience

https://t.co/uEkrtlNyfj",2021-04-22 19:30:42,0,0,"GermanMicrobiologist,ReduceWorldPopulation,KillingPeople,COVIDVaccines,Scientist,mRNAInjection,Depopulation,FollowTheScience",https://t.co/uEkrtlNyfj,,
covidvaccines,1385313592069791750,jmtaylor1977,Jennifer 🇺🇸 ☘️🌞❤️,210,283,"Wow. I have now seen it all. I was just called a racist b/c I think schools should be open w/o masks in the fall and I think those who are vulnerable should be able to opt for virtual school.

#COVID19 #OpenSchoolsNow #NoMasksInClass #COVIDVaccines https://t.co/etQMBLgTUj",2021-04-22 19:24:32,0,0,"COVID19,OpenSchoolsNow,NoMasksInClass,COVIDVaccines",,,
covidvaccines,1385313548608311296,mnahmanson,Mitchell,87,973,@GeorgeGammon When @GeorgeGammon gets his #COVIDVaccines,2021-04-22 19:24:22,0,0,COVIDVaccines,,"246621297,246621297","GeorgeGammon,GeorgeGammon"
covidvaccines,1385313044469796867,jikdmmen,Iain jikdmmen,2521,2142,RT @GillStranock: I’ve been quiet on Twitter lately as I’ve been busy as you can see in the clip below #CovidVaccines https://t.co/OIIr8PqU…,2021-04-22 19:22:22,0,2,CovidVaccines,,731792592858386432,GillStranock
covidvaccines,1385312304103821312,HVCCG,Herts Valleys CCG,5759,618,"Hundreds of scientists, thousands of volunteers and billions of pounds of funding have meant that #COVIDVaccines have been developed quickly and safely. For the facts on the #COVIDVaccine, visit https://t.co/eIPWSz8Rzg. https://t.co/Mau64nYfOj",2021-04-22 19:19:25,0,0,"COVIDVaccines,COVIDVaccine",https://t.co/eIPWSz8Rzg,,
covidvaccines,1385311989509943298,abacus003,Roohdaar,530,2433,"RT @terence_fdes: Modijis Greatest Jhumla will unfold on 01 May 2021 😂🤬
Vaccines for All 18+ ☑️
🤯🤯🤯
WHERE ARE THE STOCKS 🙄
#COVIDVaccines…",2021-04-22 19:18:10,0,3,COVIDVaccines,,17611642,terence_fdes
covidvaccines,1385311413028143109,MarianBree,Marian Bree,160,346,"RT @theclareherald: Registration will open tomorrow for people aged 64. Registration will be available for people aged 63 on Saturday, 62 o…",2021-04-22 19:15:53,0,1,,,199210301,theclareherald
covidvaccines,1385310389148192772,ibne_khalid,Usman Khan,1203,1143,"After 9 months in Canada, I finally got to take a ride at Canada’s Wonderland. Great theme park. 🎢🏰🎡

Highly recommended, whatever your age group. 

#COVIDVaccines 💉💉",2021-04-22 19:11:49,1,0,COVIDVaccines,,,
covidvaccines,1385310309926146048,richardgoatcher,Richard Goatcher,1455,1350,@jamie_blom Maybe @fordnation  listens @cbcradio &amp; he heard this AM that the new double-variant versions from India are resistant to the current #COVIDVaccines. 🤔,2021-04-22 19:11:30,0,0,COVIDVaccines,,"810611350309310464,2809959174,17679977","jamie_blom,fordnation,cbcradio"
covidvaccines,1385310191172820994,IamSKtashan,Sagar Kamble DM 4 Covid Resources🇮🇳,1937,545,"RT @Silkynsarp: Plz contact Akshardham temples, gurdwaras, mosques in your locality for beds n oxygen etc. As all in every city r providing…",2021-04-22 19:11:02,0,1,,,1304259493987930112,Silkynsarp
covidvaccines,1385309978815197185,Silkynsarp,"Silky/#KumbhMela,Rallies will go on🚩🐒",593,634,"Plz contact Akshardham temples, gurdwaras, mosques in your locality for beds n oxygen etc. As all in every city r providing them free of cost

Even for #covidVaccines

#SOSCOV21 #sosiyc #COVIDEmergency2021",2021-04-22 19:10:11,2,1,"covidVaccines,SOSCOV21,sosiyc,COVIDEmergency2021",,,
covidvaccines,1385308662483197953,IndiaAheadNews,India Ahead News,19796,152,"Coronavirus Kerala News: Covid-19 vaccine in Kerala for only those who register on #CowinApp. @OommenRickson @vijayanpinarayi @CMOKerala #COVIDEmergency2021 #COVIDEmergency #vaccine #COVIDVaccines #CovidInfoIndia #CoronavirusPandemic 

Full Video: https://t.co/OGB1QpXvHo",2021-04-22 19:04:57,2,1,"CowinApp,COVIDEmergency2021,COVIDEmergency,vaccine,COVIDVaccines,CovidInfoIndia,CoronavirusPandemic",https://t.co/OGB1QpXvHo,"1089048417865687040,2707179805,737583593245937664","OommenRickson,vijayanpinarayi,CMOKerala"
covidvaccines,1385308136651706370,jerrymacgp,Jerry Macdonald,350,221,"@JPTasker @elamin88 Don’t count chickens before they hatch, &amp; don’t believe vaccine supply numbers until they land in Canada. As we’ve seen, there are far too many hurdles between supply commitments &amp; fulfillment. #COVIDVaccines #cdnpoli",2021-04-22 19:02:52,3,0,"COVIDVaccines,cdnpoli",,"204965323,32405267","JPTasker,elamin88"
covidvaccines,1385308127856406531,DuggerDigs,Brian Dugger,1800,1529,Ohio has seen a definite dropoff in first doses of vaccine. 38.39% of residents have now received at least one dose. That is up 1.5% in last 7 days. State had been increasing by 3-3.5% a week. Fully vaccinated is up 3.1% to 28.27%. #COVID19 #COVIDVaccines #ohio,2021-04-22 19:02:50,3,2,"COVID19,COVIDVaccines,ohio",,,
