,topic,id,username,name,user_followers_count,user_friends_count,text,created_at,favorite_count,retweet_count,hashtags,mentioned_urls,mentioned_user_ids,mentioned_user_names
27,COVID-19,1384903567102947329,SNLEats,Shanlli(Shine)&Nico,230,311,"RT @VaxHuntersCan: [ON] 40+ YORK REGION

The Stouffeville Soccer City Drive Thru Vaccination Clinic has TONS of appointments NEXT WEEK.

ht…",2021-04-21 16:15:15,0,2,,,1373531468744552448,VaxHuntersCan
28,COVID-19,1384903566750588930,siphidaho,SIPH,686,206,Getting vaccinated is the best protection against getting sick with COVID-19. Visit https://t.co/OL8FAczaJw or call 208.234.5875 to schedule your appointment today.  https://t.co/vI3JLiNYFh,2021-04-21 16:15:15,0,0,,"https://t.co/OL8FAczaJw,https://t.co/vI3JLiNYFh",,
29,COVID-19,1384903566062755844,JonKilroyy,Jony,369,292,"RT @AB__25: Kids: Was COVID-19 really that bad??

Me: https://t.co/FhRrJXnZkI",2021-04-21 16:15:15,0,15423,,,2529209872,AB__25
30,COVID-19,1384903565290913792,reallisa,lisa dillman,16018,3384,"RT @brandonmcain: NEWS: The Rockford #IceHogs' game tonight at the Chicago Wolves (#LetsGoCanes, #Preds) has been rescheduled for 2 p.m. Ma…",2021-04-21 16:15:14,0,6,"IceHogs,LetsGoCanes,Preds",,1099346624,brandonmcain
31,COVID-19,1384903564812865537,Luckystrike_007,Anas Ashraf ✋,2495,2032,"RT @AnshumanSail: IMPORTANT

Rajasthan Youth Congress has issued helpline number 7357472021 for assistance during COVID 19 pandemic.

You c…",2021-04-21 16:15:14,0,168,,,4824857510,AnshumanSail
32,COVID-19,1384903564250779649,kawarthaNOW,kawarthaNOW.com ®,15802,4218,"Drop in #Ptbo's active #COVID19 cases offers a ray of hope in record-setting month of new cases. @Ptbohealth medical officer of health expresses 'a bit of relief', but says weeks ahead will tell the tale - https://t.co/14tDCfQwEx https://t.co/HrCqklXzKA",2021-04-21 16:15:14,0,0,"Ptbo,COVID19",https://t.co/14tDCfQwEx,90705306,Ptbohealth
33,COVID-19,1384903564124999682,goonerox,Goonerox,118,443,"RT @ukmfa1: This graphic shows how many people have survived Covid-19 by age group.

Hopefully this will be reassuring and useful when you…",2021-04-21 16:15:14,0,12,,,1328148065820225536,ukmfa1
34,COVID-19,1384903564045205506,AdairPress,Adair Co. Free Press,70,56,"In this week’s edition of his weekly column “The List,” news editor Caleb Nelson writes about getting to see his grandparents again after COVID-19: https://t.co/hM44pOsbm8",2021-04-21 16:15:14,0,0,,https://t.co/hM44pOsbm8,,
35,COVID-19,1384903563894214667,upendrarbs,Upendra Malakar,847,1677,RT @_garrywalia: Delhi HC directs Centre to supply oxygen to hospitals for COVID-19 patients by whatever means its required,2021-04-21 16:15:14,0,225,,,2937934140,_garrywalia
36,COVID-19,1384903563646799873,wnct9,WNCT,16968,452,"A study for a third dose of the Pfizer vaccine is underway in Hawaii. One volunteer of the two-year study said he is getting the booster shot for the safety of his family and those around him.
https://t.co/iJcrw5Rkly",2021-04-21 16:15:14,0,0,,https://t.co/iJcrw5Rkly,,
37,COVID-19,1384903562745028611,SonuAgg76623301,Sonu Aggarwal,222,92,RT @OpIndia_com: Is Serum Institute really making a huge profit and charging discriminatory price from states for Covid-19 vaccine? Read de…,2021-04-21 16:15:14,0,80,,,74980737,OpIndia_com
38,COVID-19,1384903562388549633,PhilKabler,Phil Kabler,7978,2813,"Justice: With 15 deaths since Monday, state COVID-19 deaths top 2,800 mark.",2021-04-21 16:15:14,0,0,,,,
39,COVID-19,1384903562312957952,EfthEcabal,Gulag Escape Artist,291,1693,"RT @CJBowden1: ""The developers of the NHS-linked myGP mobile healthcare app are to introduce a 🤔 vaccination certification feature...

...d…",2021-04-21 16:15:14,0,2,,,622212087,CJBowden1
40,COVID-19,1384903561834897410,fauxtiki,D'zzzzzzz,91,2247,"RT @HuffmanLabDU: 2/ ""A scientist with links to the co-founders of the ‘herd immunity’ Great Barrington Declaration has quietly secured fun…",2021-04-21 16:15:14,0,6,,,2600374380,HuffmanLabDU
41,COVID-19,1384903561360838658,Saffiya_Khan1,Gina,10084,7380,"RT @BHRUT_NHS: One of our orthopaedic doctors, @karenkchui, also an amateur photographer, spent time alongside colleagues on our ITU during…",2021-04-21 16:15:13,0,6,,,"2409117540,96373332","BHRUT_NHS,karenkchui"
42,COVID-19,1384903560836620292,ND_AMST,ND American Studies,825,199,RT @NotreDame: After last week's news that more than 90% of students have been fully vaccinated for COVID-19 or received the first of the t…,2021-04-21 16:15:13,0,4,,,6507762,NotreDame
43,COVID-19,1384903560698208256,Kaif45928278,I'm an Indian,1,19,"RT @SHASHAN66105280: #cancelapboardexams2021
Dear CM Jagan Sir @ysjagan @AudimulapSuresh, due to covid-19, many parents are worried about c…",2021-04-21 16:15:13,0,7,cancelapboardexams2021,,"1383081148025217026,2965511647,1138484798723362816","SHASHAN66105280,ysjagan,AudimulapSuresh"
44,COVID-19,1384903560207405058,laxman_vuppula,Vuppula Laxman,6,84,"RT @deepigoyal: Today, along with thousands of our restaurant partners, we just rolled out a “priority delivery for covid emergencies'' fea…",2021-04-21 16:15:13,0,86,,,72481380,deepigoyal
45,COVID-19,1384903559787991043,christianacare,ChristianaCare,6649,1473,"It’s common to feel stress day to day, and COVID-19 has brought stress to a whole new level. However, there are steps we can take to stay mentally healthy and strong during these difficult and constantly changing times: https://t.co/5K1oq1soST #LoveOfHealth #netDE",2021-04-21 16:15:13,0,0,"LoveOfHealth,netDE",https://t.co/5K1oq1soST,,
46,COVID-19,1384903559297261570,the_hindu,The Hindu,6775056,211,"Lockdown is not a solution as it takes a heavy toll on people, jobs, economy, #MamataBanerjee said addressing a press conference in Malda.
https://t.co/GnluM3yvN7",2021-04-21 16:15:13,0,0,MamataBanerjee,https://t.co/GnluM3yvN7,,
47,COVID-19,1384903559137869826,Jembino_,Melly Mell ⚡️,759,467,"RT @AB__25: Kids: Was COVID-19 really that bad??

Me: https://t.co/FhRrJXnZkI",2021-04-21 16:15:13,0,15423,,,2529209872,AB__25
48,COVID-19,1384903559020433412,FABCOJim,Fabco Plastics Jim 😷 🇨🇦,3483,4522,"RT @VaxHuntersCan: [ON] 40+ YORK REGION

The Stouffeville Soccer City Drive Thru Vaccination Clinic has TONS of appointments NEXT WEEK.

ht…",2021-04-21 16:15:13,0,4,,,1373531468744552448,VaxHuntersCan
49,COVID-19,1384903558840131588,NRPublicHealth,Niagara Region Public Health,9106,693,"Overview of COVID-19 in Niagara as of April 21 https://t.co/QU6dctlaEs

🚨Our actions can make a difference. It's critical that we all #StayHome as much as possible, limit close contact to only those we live with, and continue to follow public health measures. https://t.co/Zs5l90kZWR",2021-04-21 16:15:13,0,0,StayHome,https://t.co/QU6dctlaEs,,
50,COVID-19,1384903558731022341,GenNextEastON,GenNext East Ontario,1281,730,"RT @WabanoHealth: First Nation, Inuit &amp; Métis community members who are age 16+, as well as their spouses &amp; family household members, can b…",2021-04-21 16:15:13,0,22,,,456644004,WabanoHealth
51,COVID-19,1384903557942480897,ickiestvicki,FordFailedThePeople,1623,4998,RT @AndreaHorwath: Paid sick days are the #1 demand in the #FightToSaveOntario. It's beyond time for Ford's Conservatives to listen to the…,2021-04-21 16:15:13,0,34,FightToSaveOntario,,17073913,AndreaHorwath
52,COVID-19,1384903557774729216,ddianem37,DianeMarkham🌸,111,106,RT @Telegraph: 💷 📉 British households are far more likely to have seen their incomes severely hit by Covid-19 lockdowns than those in Germa…,2021-04-21 16:15:13,0,26,,,16343974,Telegraph
53,COVID-19,1384903556969517058,nprpolitics,NPR Politics,3078145,96218,"How's the distribution of the coronavirus vaccine going in your state?

Use our tracker to find out how your state is doing: https://t.co/CILH4M6WXg",2021-04-21 16:15:12,0,1,,https://t.co/CILH4M6WXg,,
54,COVID-19,1384903555669168128,ovie52009,Ovie,1417,1884,"RT @GazetteNGR: PWDs suffer significant abuse, discrimination during COVID-19: Report https://t.co/PEvhF52w0k",2021-04-21 16:15:12,0,3,,https://t.co/PEvhF52w0k,1276790264158474242,GazetteNGR
55,COVID-19,1384903555333689347,GinaDow7,Gina Dow,51,138,15 TTC employees tested positive for covid 19 today.💔,2021-04-21 16:15:12,0,0,,,,
56,COVID-19,1384903553731506178,BucyrusTF,Telegraph-Forum,2160,54,Here's a look at the number of Crawford County residents that have received the COVID-19 vaccine as of April 19. https://t.co/leELTLhq5n,2021-04-21 16:15:12,0,0,,https://t.co/leELTLhq5n,,
57,COVID-19,1384903553341444100,FindAVac_Hou,Find A Vac - Houston Covid 19 Vaccine Tracker,139,2,"New available appointments detected!
Provider: Walgreens
Location:
Walgreens Houston
1506 Eldridge Pkwy
Houston

Number of Appt Slots: 16
Registration link: https://t.co/zu1Rh4tcNP

[21-04-2021 11:15:12]",2021-04-21 16:15:12,0,0,,https://t.co/zu1Rh4tcNP,,
58,COVID-19,1384903552771006465,UABNeuroEng,UAB Neuroengineering PhD Program,41,60,RT @uabmedicine: Appointments are no longer necessary at any of the UAB Medicine vaccination sites. We will be administering the Pfizer-Bio…,2021-04-21 16:15:11,0,4,,,43984689,uabmedicine
59,COVID-19,1384903552762585088,PythonRoboto,Python Roboto,118,2,"RT @erc_bk: Indiana COVID-19 Tracker noon update.
Static Charts: https://t.co/9jqENeENKs
COVIDcast Dashboard: https://t.co/Aj8U8rVwSW
Demog…",2021-04-21 16:15:11,0,1,,"https://t.co/9jqENeENKs,https://t.co/Aj8U8rVwSW",967030258661756928,erc_bk
60,COVID-19,1384903552737464321,docs2go,Expeditors,1005,1446,"Passport Operations in Response to COVID-19

--&gt; https://t.co/Q1onDmMM9W &lt;--

#Za #News #passport COVID19",2021-04-21 16:15:11,0,0,"Za,News,passport",https://t.co/Q1onDmMM9W,,
61,COVID-19,1384903552120799232,Harkanwal911,Harkanwal Singh,399,1039,RT @missanabeem: Are you/someone you know a member of the US Indian diaspora trying to get your family or loved ones to leave the country a…,2021-04-21 16:15:11,0,3,,,15099007,missanabeem
62,COVID-19,1384903551793745920,crohnsfighting,crohns fighting,2281,1885,"RT @PelicanHealth: Are you due to get your COVID-19 vaccine soon?

In our latest blog, @crohnsfighting shares her experience receiving the…",2021-04-21 16:15:11,0,1,,,"88983835,835170412774359041","PelicanHealth,crohnsfighting"
63,COVID-19,1384903551055454208,SpectrumNews,The Spectrum,9451,644,One-third of Americans are vaccinated; 'Joints for Jabs' a hit in DC; Ted Nugent admits 'pandemic is real': Live COVID-19 updates https://t.co/uv1bMcQ1hB,2021-04-21 16:15:11,0,0,,https://t.co/uv1bMcQ1hB,,
64,COVID-19,1384903549650456580,Samu3lR0y,Samuel Roy,430,181,"RT @BenjaminP3ters: COVID-19 Diagnostic Exam Backed by Artificial Intelligence Rolled Out for the 2020-21 WHL Season - Business Wire

Read…",2021-04-21 16:15:11,0,600,,,942486526835023872,BenjaminP3ters
65,COVID-19,1384903549612593154,Sandeep71121431,Sandeep Choudhury,569,246,"RT @AnooBhu: There's *at least* $1.2bil (₹9677.9cr) in PM Cares that we know of.

It could pay for:
&lt; 21.5 mil RTPCR tests
~ 145 mil protec…",2021-04-21 16:15:11,0,440,,,260782440,AnooBhu
66,COVID-19,1384903548970971139,WoodleyTrialSol,Woodley Trial Solutions,91,271,Johnson &amp; Johnson has just expanded its Phase IIa COVID-19 vaccine trial to include adolescents @JNJNews. Read more: https://t.co/35L4Rnfkgf https://t.co/iD7ULefbwy,2021-04-21 16:15:10,0,0,,https://t.co/35L4Rnfkgf,20457806,JNJNews
67,COVID-19,1384903548857618433,drJoshS,Joshua Sharfstein,19018,1688,RT @RachelANews: Happening NOW: @BMore_Healthy celebrates 100th Mobile COVID-19 Vaccination Clinic! More than 50 people being vaccinated at…,2021-04-21 16:15:10,0,2,,,"1835006756,83684370","RachelANews,BMore_Healthy"
68,COVID-19,1384903548723400709,bloodreqbot,Blood Required Bot,400,17,"RT @Hindu_trad: *NEED PLASMA*
-Blood Group- AB+
-Sex- Male
-Age- 53
-Positive Report Date- 15/4/2021

-Hospital- Currently admitted to NKS…",2021-04-21 16:15:10,0,4,,,1381516810617462785,Hindu_trad
69,COVID-19,1384903548144599042,naquib_najib,C M,818,1132,"RT @wanariefimran: First to be affected, last to recover. Banyak sector lain dah recover but those in aviation &amp; relying on aviation (aviat…",2021-04-21 16:15:10,0,3,,,608802144,wanariefimran
70,COVID-19,1384903548031447045,theylovexari,PARTY GETS ME WETTER,1236,981,"RT @pclarkWLBT: Tonight at 6,
I interview JSU Student Tiranda Plummer. She’s desperately searching for a matching kidney donor.  The 21-yea…",2021-04-21 16:15:10,0,5557,,,2994614381,pclarkWLBT
71,COVID-19,1384903547100225538,JoeSchreiber6,Joe Schreiber,1950,2138,RT @B52Malmet: Astounding goals being met by President Biden and his team. Next up: offering incentives for employers to give time off to e…,2021-04-21 16:15:10,0,9,,,2876041031,B52Malmet
72,COVID-19,1384903546957668354,serenathomson14,Serena Thomson,700,1251,"https://t.co/Yoqhm8z2Kg
Electromagnetic Clutch System Market 2021 Global Technology, Development, Industry Share, Size, Growth, Trends and COVID-19 Impact Analysis 2027",2021-04-21 16:15:10,0,0,,https://t.co/Yoqhm8z2Kg,,
73,COVID-19,1384903546131390465,EngineerFaheem5,Engineer Faheemuddin,5,20,"@KTRTRS Dear Honorable Mr. KTR &gt; I am most humbled &amp; thankful to you &amp; so kind Madam Kavitha for your supports to families of Covid-19 infected people who are seeking beds, hospitals, medicines,better treatments or financial assistance. I want to see you once with my Visions Plz.",2021-04-21 16:15:10,0,0,,,118787224,KTRTRS
74,COVID-19,1384903545535803393,jerezana0902,La Jerezana 🌸 #FreeAssange,679,1012,"RT @ukmfa1: This graphic shows how many people have survived Covid-19 by age group.

Hopefully this will be reassuring and useful when you…",2021-04-21 16:15:10,0,12,,,1328148065820225536,ukmfa1
75,COVID-19,1384903545468641283,EuthanasiaPC,EPC International,1908,556,EPC update - Great news: Connecticut assisted suicide bill dies. People with disabilities were more likely to die by COVID-19. https://t.co/rxWwBzT8jb https://t.co/q9Oos8U4nE,2021-04-21 16:15:10,0,0,,https://t.co/rxWwBzT8jb,,
76,COVID-19,1384903545384841218,WV_DHHR,WV Department of Health & Human Resources • 😷,7005,307,"Lewis County: Free #COVID19 testing is available April 24, 10 a.m.-5 p.m. at Stonewall Jackson Home Oxygen Therapy in Weston. Pre-register at https://t.co/QInOiKAc7F. For additional sites in Lewis County and statewide, visit: https://t.co/6M6AQnP1aI https://t.co/QvfSwL9rEj",2021-04-21 16:15:10,0,0,COVID19,"https://t.co/QInOiKAc7F,https://t.co/6M6AQnP1aI",,
77,COVID-19,1384903545367957509,NewsHour,PBS NewsHour,1178617,115317,"Have you or are you planning a funeral for a loved one who died of COVID-19?

We want to hear from you. Please fill out our form:  https://t.co/f4UePOR54j https://t.co/AERbE34wVQ",2021-04-21 16:15:10,0,0,,https://t.co/f4UePOR54j,,
78,COVID-19,1384903545246343176,gandhiincindia,Himanshu Gandhi निषाद #MyLeaderRahulGandhi,3340,1814,"RT @thewire_in: The Bengali poet, Sankha Ghosh (February 5, 1932–April 21, 2021), who was born in erstwhile East Bengal, passed away in Kol…",2021-04-21 16:15:10,0,1,,,3150940290,thewire_in
79,COVID-19,1384903544596217860,Frankie_Benvo,Frankie Benvenuti 💈,375,469,RT @TSNDaveNaylor: From @CFLPA to membership ... “we continue to advise you not to make any decisions related to your current employment. T…,2021-04-21 16:15:09,0,2,,,"76066858,118710252","TSNDaveNaylor,CFLPA"
80,COVID-19,1384903544394899458,BellinHealth,Bellin Health,2760,1327,"Vaccines help keep our loved ones and communities safe from many diseases. 

Join us in providing education about and awareness for the importance of vaccines, including the COVID-19 vaccine. 

https://t.co/7cxLBAdEk7

#BellinHealth #VaccinesWork #WorldImmunizationWeek https://t.co/Le91UwNDRP",2021-04-21 16:15:09,0,0,"BellinHealth,VaccinesWork,WorldImmunizationWeek",https://t.co/7cxLBAdEk7,,
81,COVID-19,1384903543719702532,veneaaaa,VeneaJase🦋.,2052,1969,"RT @pclarkWLBT: Tonight at 6,
I interview JSU Student Tiranda Plummer. She’s desperately searching for a matching kidney donor.  The 21-yea…",2021-04-21 16:15:09,0,5557,,,2994614381,pclarkWLBT
82,COVID-19,1384903543216349184,BobyCarsan,boby carsan,867,964,Iraq hits 1 million Covid-19 cases after setting daily record https://t.co/H0UPDHk7Uu,2021-04-21 16:15:09,0,0,,https://t.co/H0UPDHk7Uu,,
83,COVID-19,1384903542486544390,cbarbermd,"Carolyn Barber, MD",78,96,"RT @Telegraph: 🔴 EXCLUSIVE: Just 32 vaccinated people were hospitalised with Covid-19 in recent months, according to “extraordinary” real w…",2021-04-21 16:15:09,0,407,,,16343974,Telegraph
84,COVID-19,1384903541391773696,lavs208,Lavanya,149,386,RT @covidrtbot: Just tag @covidrtbot under any tweet asking for resources for COVID-19 and it'll automatically reply with a link to a large…,2021-04-21 16:15:09,0,255,,,"1380947525566263298,1380947525566263298","covidrtbot,covidrtbot"
85,COVID-19,1384903540569743365,GabriellaNelms,Gabriella Nelms,143,217,How to get a Covid-19 vaccination appointment in every state https://t.co/hy1MNOg95o,2021-04-21 16:15:08,0,0,,https://t.co/hy1MNOg95o,,
86,COVID-19,1384903539659522052,leene50,TRUTH MATTERS🌊,1284,4633,"@FrankLuntz Covid 19 is a living virus. It mutates. It adapts.
Get used to it. It will always be around.
It’s blind ignorance to expect anything other.",2021-04-21 16:15:08,0,0,,,197496309,FrankLuntz
87,COVID-19,1384903539579887616,HelperStream,TheStreamHelper,1034,84,"RT @TorontoStar: #Breaking: Ontario is reporting 4,212 COVID-19 cases, 32 deaths
https://t.co/Vqcv9S48cc",2021-04-21 16:15:08,0,17,Breaking,https://t.co/Vqcv9S48cc,12848262,TorontoStar
88,COVID-19,1384903539047215104,vardi,Moshe Vardi,8738,75,RT @LungTxptMD: Well said.  https://t.co/HCxnF0Ofok,2021-04-21 16:15:08,0,1,,https://t.co/HCxnF0Ofok,1050490517698428928,LungTxptMD
89,COVID-19,1384903538589982723,Davjd_S,DavidS,1005,1268,RT @zerohedge: The Lockdown Paradigm Is Collapsing https://t.co/qR9VBq6JoL,2021-04-21 16:15:08,0,278,,https://t.co/qR9VBq6JoL,18856867,zerohedge
90,COVID-19,1384903538162163715,nycHealthy,nychealthy,77655,563,"If you were recently in close contact with someone who has #COVID19 (within 6 feet for at least 10 minutes over a 24-hour period), you should wait to get vaccinated until after you have quarantined for 10 days since you were last exposed: https://t.co/4zgWbbigan https://t.co/5ZgH2q50ZI",2021-04-21 16:15:08,0,0,COVID19,https://t.co/4zgWbbigan,,
91,COVID-19,1384903535695908870,LynnFra87082304,LynnFra87082304,34,534,"RT @PAHealthDept: ✅ Fact: #COVID19 vaccines can’t make you sick with COVID-19. 

You may have side effects after vaccination, like chills,…",2021-04-21 16:15:07,0,4,COVID19,,3218464527,PAHealthDept
92,COVID-19,1384903534613868546,marianarm18_,Mariana G. Ramírez ◡̈,768,510,"RT @davidluhnow: Pfizer says it has identified the first confirmed fake versions of its vaccine, in Mexico and Poland. https://t.co/Te1PB1l…",2021-04-21 16:15:07,0,583,,,61875523,davidluhnow
93,COVID-19,1384903534492192772,moulton_anne,Anne Moulton,631,2311,"RT @MichaelPSenger: Imagine being the author of this BBC article on the murder of 228,000 children, who were at no real risk from COVID-19,…",2021-04-21 16:15:07,0,5,,,1679362640,MichaelPSenger
94,COVID-19,1384903534488006657,JournalStarNews,Lincoln Journal Star,78084,895,"Experience an abnormal menstrual period after getting your COVID-19 vaccine? So did two researchers, who have created a survey to allow others to share their experiences. https://t.co/9kJexQSn9R",2021-04-21 16:15:07,0,0,,https://t.co/9kJexQSn9R,,
95,COVID-19,1384903532873142280,fox5ny,Fox5NY,125175,466,"Multiple students from a dance school in the Utica area participated in a competition Saturday, in nearby Syracuse, despite experiencing symptoms of the illness.​  https://t.co/j7nxVDNpAp",2021-04-21 16:15:07,0,0,,https://t.co/j7nxVDNpAp,,
