index,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
13,FigTees,Custom WWE/AEW Figure T-Shirts & More! - FREE UK SHIPPING! 🇬🇧 US / International Delivery Avallable 🇺🇸🇨🇦🇦🇺,,1008,1290,7022,210,"Mexico's masked Lucha wrestlers lent their support to the elderly at a #COVID19 vaccination site in Mexico City.

Watch more videos from Sky News: https://t.co/Te6c05Wa9u https://t.co/4EQMRWHoiq",['COVID19']
14,ajitaffirm,#DigitalMediaHiring #CareerCoach #SoftskillsTrainer #Entrepreneur #Recruitment #Placement #Thinker,"Pune, India",2049,3002,124906,2189,"I was stopped from visiting Kausa #COVID19 center (Thane). The center is abruptly closed, it's infrastructure stolen. I am now stopped to Expose this Ghotala and arrested and now taken to Kalva Police Station @BJP4Maharashtra @Dev_Fadnavis @BJP4India",['COVID19']
15,hfxlibrarian,A librarian in Halifax,"Halifax, Nova Scotia, Canada",2235,1987,27370,0,@ChickenGate I have been following the adverse effects for the COVID19 vaccine pretty closely as a matter of fact. Here is the data for Canada https://t.co/zJxlXLqGof,[]
16,EmilyEwht,,,42,7,43,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
17,cherylml1,,,109,48,7628,172,"I first learned about global warming when I was 17. 

The experts at the time confidently predicted that areas like Toronto would have a climate like Florida’s in 20 years.

I’m 48 and still waiting.

I’m certain that the experts #covid19 predictions will be just as accurate.",[]
18,OsitadimmaMike,Engineer. Real Estate. Optimist,"Abuja, Nigeria",386,157,8255,251,"Join the #HarassBuhariOutOfLondon protest. @MBuhari, who killed peaceful #EndSARS protesters, should not come to London to receive life. The address is Abuja House, 2 Campden Hill, Kensington, London W8 7AD. Nearest Tube Station: Kensington Hogh Street. Observe #COVID19 protocols","['HarassBuhariOutOfLondon', 'EndSARS']"
19,jonhyman,Master of Workplace Schadenfreude • Employment Law Influencer • Attorney @wickensherzer • Ohio Employer Law Blog • Dad to two rock stars • Blocked by OJ,"Cleveland, Ohio",2968,3718,21357,1,On-site #COVID19 vaccination programs at places of employment sound like a logical idea. Hope government can stay out of the way [@jonhyman] https://t.co/IlMpfzeVjW,['COVID19']
20,DeaElizabeth3,,Canada,1840,187,2920,5,#Lumber prices sky-high as #COVID19 causes supply issues that aren't going away | CBC News https://t.co/9DfnJ5Xigg #housing,"['Lumber', 'COVID19']"
21,itstechgraph,"Bringing latest news & analysis on technology, business & economy from India and world.","Powai, Mumbai",2390,991,2869,0,"British Prime Minister Boris Johnson has suggested that vaccinated people should not meet indoors, as vaccines are not giving 100 percent protection.

#BorisJohnson #VaccinationDrive
#UK #Brits #COVID19 #Britain 

https://t.co/AJHiCJbzxK","['BorisJohnson', 'VaccinationDrive', 'UK', 'Brits', 'COVID19', 'Britain']"
22,IainCampbell008,"Large insert of Paul Rusesabagina, illegally abducted from Dubai and on trial in Rwanda. Tweet #FreeRusesabagina widely please.",Somewhere or the other. ,5899,8050,74620,1,"A protester holds a 'Querdenken' flag during a #demonstration held by the #Querdenker (lateral thinkers) movement against the German government's #coronavirus restrictions in #Stuttgart, #Germany, 03 April 2021. 📷 epa / Sascha Steinbach

#protest #covid19 #pandemic #epaphotos https://t.co/LW6EeVbN7b","['demonstration', 'Querdenker']"
23,WLTX,"News 19, WLTX is On Your Side with Breaking News, Weather and Sports from Columbia, SC. Retweets are not an endorsement. | https://t.co/nsWAM2Leen","Columbia, SC",3282,120580,467538,0,"632 COVID-19 cases reported in SC, 3.5% positive https://t.co/24c2GKQSvj",[]
24,KumbalagodK,RT n Fav r not endorsements,Mumbai,3072,1576,313156,363,"Mumbai just crossed 9,000 fresh Covid19 cases in a single day for the first time in the pandemic.",[]
25,activia513,,,269,32,671,13,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
26,c_vb,"I'm just a person. And a proud PFLAG parent. Conspiracy theorists will be blocked immediately unless I find it entertaining
she/her 
#wearamask #DontBeAMaskhole",3rd rock from the sun,291,115,4249,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
27,purlgurly,"#poli, disability, food, geekery, knitting, cats. Alto. ADHD. Public school supporter. #WealthTax She/her/hers.","Toronto, Canada",1593,819,38843,0,"So now that the P1 #COVID19 variant (the “Brazil variant”) is known to be spreading in BC, what are we going to do to stop the spread to the rest of the country? https://t.co/nprD1VTPXB",['COVID19']
28,commiedaughter,Trying to navigate the darkest timeline. ☄️💀 she/her. I use swears. How strange it is to be anything at all.,"Minneapolis, MN",2320,372,3174,0,"We need equitable vaccine distribution and we needed it two months ago. 

I really hope more providers in the metro will be explicit about BIPOC outreach and eligibility. @MHealthFairview effort is a start. 

https://t.co/dAaNYhMahQ https://t.co/lbviXfSFki https://t.co/zGYVrEwVNd",[]
29,AJO4444,A coastal ecologist,,211,192,542,3,"Still over 150+ #COVID19 vaccination appointments left for the South County POD on 04/11, go to https://t.co/eZRguKDAoc and scroll down, and then go to Page 6. Let's keep going!",['COVID19']
30,angoffinet,Retired neurobiologist trying to remain up to date. Amateur artist.,Belgium,347,627,4356,0,"2/3 Now, The CCP and CAS is using that considerable web to counter the trivially obvious leak in Wuhan that led to covid19. This is a disgrace and lack of consideration for 3M death and more suffering.",[]
31,tenajd,Life is what happens to you while you're busy making other plans,United States,4502,3448,372007,13,80% of #COVID19 deaths in the US have been persons 65 years and older.  Now 3 out of every 4 people in this age group have gotten at least one vaccine dose and over half are fully vaccinated.  More here: https://t.co/cDnwwzcldb https://t.co/Zv39IXJ18z,['COVID19']
32,lab_leak,,,75,380,1518,1,"7/ I’ve outlined why I believe a lab-related incident is the most likely #COVID19 origin hypothesis in my website, interviews, &amp; writing. Don’t just believe me because I had a fun conversation w/ @JoeRogan. Review the evidence &amp; draw your own conclusions. https://t.co/Plsgab9JRi",['COVID19']
33,BurtonBrown,"Husband of the love of my life, (Janice Brown), Father, Brother, Cancer Warrior - survivor. Blue Jeans , Sunshine and Joy.","Pittsburgh, PA",292012,278872,352424,12,"“You are today where your thoughts have brought you; you will be tomorrow where your thoughts take you.” – James Allen
#quote #covid19 https://t.co/gWaRzFoogd",[]
34,bobbyJM_,"Proud Jamaican/Canadian, Aries, lover of nature, family man, and DIYer. Here for the news, laughs and politics. RT's aren't endorsements.",Up North,1012,1736,7110,3,"Argentina's President Alberto Fernandez, who has been vaccinated against #COVID19, announced late Friday that he had tested positive for the coronavirus.
https://t.co/TdFkQ52O2I",['COVID19']
35,DafuqRUwearing,Be the change! https://t.co/WKNFrXd7tj,"Texas, USA",794,397,53287,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
36,TillWhompson,Opinions my dad’s | OSU ‘21 | he/him,"Ohio, USA",677,329,4186,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
37,tulip_in_march,Care for the elderly is not only physical.  their mental health is vital as well🙏,"Scarborough, Ontario",76,45,7441,793,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
38,vmoorthynow,"Care, Collaborate, ACT.
Truth and Justice Above All.

#TurnTheTideOrMoveON 
#World #Development #DisasterResponse @Incrisisrelief
#Changemaker👍
Tweets Personal",India,2218,2103,57085,3,"A friend of mine is looking for ICU bed in Mumbai, her dad is covid positive,  in critical condition and needs to undergo some surgery. Any leadS could help #COVID19 #Mumbai #ICU",[]
39,sala_royal,Practical to a fault. . .,Jamaica,311,110,17475,4,"482 new #COVID19 cases, 6 deaths recorded in the last 24 hours. Details here: https://t.co/wVcgvJ0oj7

@christufton",['COVID19']
40,laineo_,𝐜𝐡𝐚𝐧𝐠𝐞 𝐢𝐬 𝐜𝐨𝐧𝐬𝐭𝐚𝐧𝐭,,422,489,11111,1133,Being vaccinated does not mean you will not get infected with COVID-19!! Being vaccinated lessens your risk of having moderate-severe disease that will need hospitalization!! #COVID19,[]
41,JanetLChisholm,"Musician, Violin teacher, Democrat born decades ago in Oklahoma, Life-Long Dem, now in WI",,654,220,56737,127,"Hello Family  - please add your voice to this important initiative today. 

#TeamJustice, @glennkirschner2 are doing consequential work for all of us. 

Please share. 

#Resist #COVID19 #Covidiots https://t.co/8IWXxjnGOw",['TeamJustice']
42,henne38,@iamsrk @iam_juhi @MadhuriDixit @itsKajolD @TheFarahKhan @realpreityzinta @BeingSalmanKhan @IAMSUNNYDEOL @dreamgirlhema @aapkadharam & others,berlin - Germany,927,2956,481053,1,"#RanbirKapoor’s fitness trainer reveals all about his fitness regime post recovering from #COVID19 

https://t.co/SH7BLVBtpy","['RanbirKapoor', 'COVID19']"
43,normacrooz,"Comedian
SHO NORMA 

LET'S TURN UP THO


 https://t.co/aMzSzHKMfC",Lagos,337,1635,5011,2,"I want everyone to support my comedy career by following retweet 
Like #HarryandMeghan
#BigDrip #ICYPARK #MaishaShereheFriday #mars2021 #VanirCapital #COVID19 #ตั๋วช้าง #พูดถึงสถาบันไม่ได้ก็ไม่ต้องมี https://t.co/o2gPJDSyvb","['HarryandMeghan', 'BigDrip', 'ICYPARK']"
44,AskDrShashank,"Dean Indian College of Physicians(2020), Chair IDF Southeast Asia
Views my own ,RTs not endorsements",Mumbai,1360,3873,24268,358,I know we're anxious to get back to doing things we enjoy most- esp. travel. If you’re fully vaccinated against #COVID19 (two weeks after getting last recommended dose) it is low risk to travel in U.S. if precautions are taken: #WearAMask &amp; avoid crowds. https://t.co/A4JFDKuyQp https://t.co/pmj80zluz2,['COVID19']
45,djbitter96,"Guelph, Ontario","ÜT: 43.554187,-79.717973",82,50,8102,13,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
46,vazeeam,"Join me free to earn: https://t.co/Q1OubRnWv1, #Vote out #GOP in #Elections! #PPPloans, #Bizfunding, #POS that eliminates most fees, etc, Jobs available! Ask me.",Earth,5003,1608,38367,3694,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
47,benpenwell_ben,"actor, blacksmith, pianist, poet, cook, defender of the defenseless, believer that good will prevail over ignorance, hatred and evil.","Wisconsin, USA",2007,1861,51977,47,"Anyone who believes that getting the #COVID19 vaccine changes their DNA, desperately need a change in their DNA.

Carry on!",['COVID19']
48,qdtrinh,Urologic surgeon @BrighamWomens and @harvardmed - Health Services researcher - Views expressed herein are my own.,"ÜT: 45.512082,-73.555643",782,4081,5351,11,"A year ago, our group from @BrighamGI &amp; @BrighamMedRes began to study the clinical &amp; GI manifestations of SARS-CoV2. We were inspired &amp; hoped to contribute, in any small way, to the understanding of #COVID19. Thank you to all in our group &amp; collaborators!

https://t.co/6XzZOcPZEN https://t.co/1L7LaSUsHq",[]
49,yleemoralesrph,Born with grit ✨ Taking a leap of faith || Age like a bottle of wine 🍷|| keep yourself hydrated,PH,376,324,14990,1133,Being vaccinated does not mean you will not get infected with COVID-19!! Being vaccinated lessens your risk of having moderate-severe disease that will need hospitalization!! #COVID19,[]
50,malarkeysalad,tomfoolery.,Your Imagination,718,402,80529,0,I really got on the floor to pick up my cat and now I feel like I could go to sleep...#COVID19 #seconddose https://t.co/LhtIQbmiUu,"['COVID19', 'seconddose']"
51,CathyJoeGPT,🇺🇸💛🌊🌊🌊 Proud Graduate of the University of Southern Mississippi Proud Mom Love my Cat  Dreaming of turning MS Blue  Retweet 💛Funny Cynical Kind Smart☀️,"Mississippi Gulf Coast, USA",11610,12398,472654,22,"Today MSDH is reporting 284 more cases of COVID-19 in Mississippi, 3 deaths, and 17 ongoing outbreaks in long-term care facilities. The state's total of #covid19 cases is now 305,701, with 7,051 deaths. More on case details, vaccinations and prevention: https://t.co/YCv9xPyJDk https://t.co/9zWbsnM2Tu",[]
52,monoaminoxidasa,Communist son of the great mother Ⓥ☭,Chile,988,1533,59581,3692,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
53,mf_navedo,Our mission is to understand fundamental processes in vascular biology through creative thinking and scientific excellence. @UCDavisMed @ucdavis @UCDavisHealth,"California, USA",178,432,557,97,"🚨 Sacramento COVID-19 vaccine appointments!! 🚨 

TONS of slots available over the next two weeks at UC Davis Health's East Sacramento clinic at Scottish Rite Masonic Center, from tomorrow through April 17.

Sign up: 
https://t.co/12966Pn4Le",[]
54,PIBImphal,"Official Twitter account of Press Information Bureau, Government of India, Imphal, Manipur","Manipur, India",32,4631,23770,0,"#IndiaFightsCorona 
COVID19 Vaccination-Day 78

More than 7.44 Cr COVID19 vaccine doses administered

13 lakh vaccine doses given till 8 pm today

@PIB_India
@MoHFW_INDIA

More :https://t.co/PIIiMy8tko",['IndiaFightsCorona']
55,TterRasta,"Melissa. Mom and Mommy. Married. I'm super special, because of my unique specialness. Artist. Activist. Comedian. Pioneer. Imaginative. 😱. Bird💕💕💕💕💕💕","Dunlap, IL",348,72,1414,72,"Good news on the Pfizer vaccine front!
The new data shows it is 91% effective 6 months later against getting #Covid19 and 100% against serious symptoms.  It also kicks variant butt too.
We are all hoping data on the other vaccines is as promising!
#Science https://t.co/EZpk5tUdlp",['Covid19']
56,Clearview_twp,Official Twitter feed of Clearview Township. This account is not monitored 24/7,"Clearview Township, ON, Canada",228,2781,6739,83,"Effective April 3 at 12:01 a.m., Ontario is imposing a provincewide emergency brake as a result of an alarming surge in case numbers and #COVID19 hospitalizations across the province. This will be in place for at least four weeks. https://t.co/qSlOYMdv1D https://t.co/VD8wYuNLYa",[]
57,BobFriedberg,"Clinical Psychologist, Cognitive Behavioral Therapy, Fanatic about New York Mets, New York Giants, Broadway, and Television Maven",San Jose,1742,1319,2897,4,Great @HoustonChron article with answers to common questions about the #COVID19 #vaccine. Dr. Eric Storch offers guidance for those with a fear of needles (#CBTworks!): https://t.co/x4u1XUkrFm #anxiety #trypanophobia #mentalhealth #pandemic @bcmhouston  @BCMHouston_News,"['COVID19', 'vaccine']"
58,fanranxingwu1,一切都是刚刚开始！！！,,284,681,8742,480,"#WarRoomPandemic, 2 Apr 2021
- 3rd Yan Report (link on my pinned tweet) composes of one opening statement (easy for layman) &amp; two point-point scientific responses to refute nature-origin of #COVID19 
- Scientific misinformation campaign is part of CCP’s #UnrestrictedBiowarfare https://t.co/U7pwgRNtS5",['WarRoomPandemic']
59,gtlem,"#1 Source For News & Videos On #Covid19 Vaccines Shortages From Around The World

100% PROGRESSIVE #canqueer & #ScarbTo Resident","Scarborough Village, Toronto",2525,8464,43787,0,"Conservative Commentator Karlene Nation @OneNationK 

Despite what the polls say - Erin O'Toole will

BEAT Justin Trudeau in the next election

#cdnpoli #covid19 https://t.co/KYhtzic9dk","['cdnpoli', 'covid19']"
60,margbrennan,"@FacetheNation Moderator, #FacingForwardPod host, @CBSNews Sr Foreign Affairs Correspondent, Mom, USMC wife, @UVA alum, retired 🇮🇪 dancer","Washington, DC",4099,124474,73473,1,"""The vaccine is, to me, I believe, is saving life, and that's what Jesus Christ would want us to do, to help save life. It's just a tool to help save life,"" Evangelical leader Franklin Graham to @kathrynw5 of @CBSNews #covid19 #Vaccines4All https://t.co/bdhre7an5A","['covid19', 'Vaccines4All']"
61,sumitsharma_87,"Blogger, Journalist at LatestLY, Worked in NewsX and Punjab Kesari","amritsar, india",138,183,475,2,"COVID-19 Surge in Chhattisgarh: State PR Commissioner Taran Prakash Sinha Urges Media Personnel to Get Vaccinated Against Coronavirus
#TaranPrakashSinha #COVID19 #COVID19Vaccine #Coronavirus 
@SinhaTaran
@ChhattisgarhCMO
@bhupeshbaghel
@INCChhattisgarh 
https://t.co/sGpUMh9U5L",[]
62,news24x75,News Update 24x7,,10,686,81438,1,#COVID19 https://t.co/oajLw6tnYw #COVID19 #twip €14.1 million,"['COVID19', 'COVID19', 'twip']"
63,CathyJoeGPT,🇺🇸💛🌊🌊🌊 Proud Graduate of the University of Southern Mississippi Proud Mom Love my Cat  Dreaming of turning MS Blue  Retweet 💛Funny Cynical Kind Smart☀️,"Mississippi Gulf Coast, USA",11610,12398,472654,8,"Today MSDH is reporting 290 more cases of COVID-19 in Mississippi, 4 deaths, and 15 ongoing outbreaks in long-term care facilities. The state's total of #covid19 cases is now 305,991, with 7,055 deaths. More on case details, vaccinations and prevention: https://t.co/YCv9xPyJDk https://t.co/eFE5gUUUER",[]
64,AskRisk,"Risk Management Updates and Timely, Relevant Information on Risks that Occur in our Daily Lives",Global,73,98,14282,19,"UPDATE: Fully vaccinated against #COVID19 &amp; planning international #travel?
• You do NOT need to get tested before leaving the U.S. unless your destination requires it. 
• You do NOT need to self-quarantine after arriving in the U.S.
Find out more: https://t.co/H24j1abpGy https://t.co/cvorMRoekT","['COVID19', 'travel']"
65,Yahya62955292,,,33,2,82,326,#novoteforPTI  we studied all year like this .How would you consider that we are capable to do a neat and clean paper .😑#cancelboardexams2021 #cancelboardexams2021 #cancelboardexams2021 #novoteforPTI #COVID19 #novoteforPTI #novoteforPTI https://t.co/dhwA7zvYhp,['novoteforPTI']
66,alloygator_Swed,,,126,88,6476,13,"""I am a little different from most academic infectious disease epidemiologists, as most of my collaborations are with public health departments."" My frank discussion of #COVID19 strategy with the smart and entertaining @VPrasadMDMPH at @UCSF. 
https://t.co/C3S2guGMT7",[]
67,ayushiprincesss,its my belief that  life is too short so enjoy each n every movement of ur life... So  i believe  in living each n every movement of my life.,INDIA,308,114,3548,363,"Mumbai just crossed 9,000 fresh Covid19 cases in a single day for the first time in the pandemic.",[]
68,Sayu_riaz,,"Durban, South Africa",757,325,12544,0,"Hi @itamaraty_EN @CancilleriaARG @CancilleriaPeru @Minrel_Chile @SRE_mx @CancilleriaCol : The #COVID19 crisis demands global and regional unity. At WHO meetings, please raise your voice as Latin America and the Caribbean to support ACT-A and COVAX! #EndCOVIDforAll","['COVID19', 'EndCOVIDforAll']"
69,daamitt,"CPO @capitalfloat. Co-founder, CEO @getwalnutapp - Money Made Simple (acquired by @capitalfloat). Prev Google-Motorola-Codito.",India,1313,3037,20430,0,@varunshoor Inactivated and modified Adenovirus (AZ) vs inactivated covid19 corona virus (BB),[]
70,Plainjaneonmain,"Plain Jane on Main street  USA.  Married with 4 kids.  Strong belief in God, my Family and making this world a better place.",🇺🇸,281,58,26079,185,"Ashley Richardson-Abdalla, 38yo Nurse, Cryo-Cell at Mt Sinai Labor and Delivery,  Los Angeles, CA, died of #covid19 2/1. She was a wife and mother to two young children who was active in Girl Scouts. #healthcareheroes  https://t.co/CCNorMhKvg https://t.co/cgjd4lDBl7",['covid19']
71,samwitwicki4,🤔,"St. Albert, Alberta",785,356,22888,16,"Using government resources during the third wave of a global pandemic to violently evict tennants. This is both unethical and irresponsible. I have no words for this, or at least words that I am comfortable using on social media. #onpoli #COVID19 https://t.co/pTgOzLlIAA",[]
72,renkes,"one of the 75%, loves sports and particularly football and Swansea City. enjoys cooking, gardening reading and a passionate socialist",Wales,1237,596,32157,22,"The rapid COVID-19 surveillance dashboard has been updated

💻 https://t.co/zpWRYSUbfh
📱 https://t.co/HSclxpZjBh

Read our daily statement here: https://t.co/u6SKHz0zsG https://t.co/JqZLBt8Oc4",[]
73,PigeonExpress_,TPE Official : The world's oldest messenger revived #TPEoorhh || Instagram: thepigeonexpress,online,10,4074,19518,0,Blood Clot Deaths: 7 people died after getting Oxford-AstraZeneca Covid-19 vaccine in the United Kingdom #Coronavirus #COVID #COVID19 #COVIDー19 #Covid_19 #BloodClots #Oxford #AstraZeneca  https://t.co/m62WS0ObpK,"['Coronavirus', 'COVID', 'COVID19', 'COVIDー19', 'Covid_19', 'BloodClots', 'Oxford', 'AstraZeneca']"
74,TChanMD,"Emergency Physician(@HamHealthSci), Assistant Dean, #FacDev (@MacPFD @McMasterU), Assoc Prof @MacEmerg @MacDeptMed. #MedEd scholar/innovator https://t.co/Gou3Z1GR63","Canada (Hamilton, ON)",6200,13780,57943,17,"our new paper is out: 

EM influencers’ twitter use in the early #COVID19 (mixed meths)

what we tweet matters.

with Maren Leibowitz (@NorthwesternEM resident first author!) @MKleinMD @JenniferChan7 @dmcmoster in @WestJEM 

#NoPaywall

https://t.co/xrMPZqUUE0 https://t.co/RNFlJrnqJl",['COVID19']
75,JeremyThethug,,,267,7,2052,326,#novoteforPTI  we studied all year like this .How would you consider that we are capable to do a neat and clean paper .😑#cancelboardexams2021 #cancelboardexams2021 #cancelboardexams2021 #novoteforPTI #COVID19 #novoteforPTI #novoteforPTI https://t.co/dhwA7zvYhp,['novoteforPTI']
76,Sayu_riaz,,"Durban, South Africa",757,325,12544,0,"Hi @POTUS @BorisJohnson @JustinTrudeau @JPN_PMO - please start donating #COVID19 vaccine doses now, to reach health workers and the most vulnerable globally. Vaccine nationalism puts the world, people’s lives, and your economies at risk.  We can only defeat #COVID19 together.","['COVID19', 'COVID19']"
77,KarlBrophy,"CEO of Red Flag - @thisisredflag

Part-time Vactivist",Stuck in Ireland,5559,12713,44821,1,"3,423 new UK #COVID19 cases announced. Another very low day, 27% below last Saturday, 2nd lowest since 17 Sep. 7 day average below 4k for 1st time in 2021. 10 deaths will be an undercount on a holiday Saturday but lowest by date of announcement since 14 Sep. 7 day average now 36.",['COVID19']
78,gfarozam,"Ben feroz, felsefe doktoru, Keshmirli ve sadık bir Pakistan destekshisiyim. khilfa bizim nihai hedefimizdir.",Srinagar Kashmir,463,863,7249,0,@ThisIzCJ Rising cases of covid19,[]
79,viralvideovlogs,"news news news and trends

https://t.co/2ScZqTGWgG",കേരളം,4516,6164,632533,4,"States across the U.S. are repealing mask mandates, despite @CDCgov showing that masks can reduce #COVID19 transmission by 96.4%.

We need to put public health over politics. #MasksWork https://t.co/Z59gFHm3an",['COVID19']
80,Knight201701,"Registered and Informed Voter
#ResistAndPersist🗽
Y'all Means ALL Wear A Mask
#BidenHarrisBuildBackBetter🇺🇸
#FireGregAbbott2022",,4530,2748,461910,4,"States across the U.S. are repealing mask mandates, despite @CDCgov showing that masks can reduce #COVID19 transmission by 96.4%.

We need to put public health over politics. #MasksWork https://t.co/Z59gFHm3an",['COVID19']
81,ClayJennette,,,736,260,7847,36,"#COVID19  is a true killer. So far it’s killed the flu, cancer, heart disease - it killed the ability to think, logic &amp; common sense. It killed the economy, the working class, &amp; millions of jobs. It killed thousands of businesses, human connection, love and compassion.
#lockdown",['COVID19']
